stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
28	1corintios	1	18	1corintios-1-18-P02	1corintios-1-18-P01	ἐστιν	εἰμί	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ἐστίν	candidate	not_detected
29	1corintios	1	19	1corintios-1-19-P01	1corintios-1-18-P02	γέγραπται	γράφω	V-XPI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐστιν	candidate	not_detected
30	1corintios	1	19	1corintios-1-19-P02	1corintios-1-19-P01	ἀπολῶ	ἀπόλλυμι	V-FAI-1S	1	S	confirmed	finite_verb_morphology	shift	person_number_change	3	S	γέγραπται	candidate	not_detected
31	1corintios	1	19	1corintios-1-19-P03	1corintios-1-19-P02	ἀθετήσω	ἀθετέω	V-FAI-1S	1	S	confirmed	finite_verb_morphology	same	person_number_match	1	S	ἀπολῶ	candidate	not_detected
32	1corintios	1	20	1corintios-1-20-P01	1corintios-1-19-P03	ἐμώρανεν	μωραίνω	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	1	S	ἀθετήσω	candidate	not_detected
33	1corintios	1	21	1corintios-1-21-P01	1corintios-1-20-P01	ἔγνω	γινώσκω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐμώρανεν	unresolved	candidate
34	1corintios	1	21	1corintios-1-21-P02	1corintios-1-21-P01	εὐδόκησεν	εὐδοκέω	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἔγνω	candidate	not_detected
35	1corintios	1	22	1corintios-1-22-P01	1corintios-1-21-P02	αἰτοῦσιν	αἰτέω	V-PAI-3P			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			εὐδόκησεν	unresolved	candidate
36	1corintios	1	22	1corintios-1-22-P02	1corintios-1-22-P01	ζητοῦσιν	ζητέω	V-PAI-3P			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			αἰτοῦσιν	candidate	not_detected
37	1corintios	1	23	1corintios-1-23-P01	1corintios-1-22-P02	κηρύσσομεν	κηρύσσω	V-PAI-1P	1	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ζητοῦσιν	candidate	not_detected
38	1corintios	1	25	1corintios-1-25-P01	1corintios-1-23-P01	ἐστίν	εἰμί	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	1	P	κηρύσσομεν	unresolved	candidate
39	1corintios	1	26	1corintios-1-26-P01	1corintios-1-25-P01	βλέπετε	βλέπω	V-PAI-2P	2	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐστίν	candidate	not_detected
40	1corintios	1	27	1corintios-1-27-P01	1corintios-1-26-P01	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	βλέπετε	candidate	not_detected
41	1corintios	1	27	1corintios-1-27-P02	1corintios-1-27-P01	καταισχύνῃ	καταισχύνω	V-PAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἐξελέξατο	unresolved	candidate
