movement_group_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	group_signature	first_finite_verb	last_finite_verb
MG0500	500	1corintios	755	755	14:9	14:9	1corintios-14-9-P01	1corintios-14-9-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	δῶτε	δῶτε
MG0501	501	1corintios	756	756	14:9	14:9	1corintios-14-9-P02	1corintios-14-9-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γνωσθήσεται	γνωσθήσεται
MG0502	502	1corintios	757	757	14:9	14:9	1corintios-14-9-P03	1corintios-14-9-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἔσεσθε	ἔσεσθε
MG0503	503	1corintios	758	759	14:10	14:10	1corintios-14-10-P01	1corintios-14-10-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	τύχοι	εἰσιν
MG0504	504	1corintios	760	760	14:11	14:11	1corintios-14-11-P01	1corintios-14-11-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	εἰδῶ	εἰδῶ
MG0505	505	1corintios	761	761	14:11	14:11	1corintios-14-11-P02	1corintios-14-11-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἔσομαι	ἔσομαι
MG0506	506	1corintios	762	762	14:12	14:12	1corintios-14-12-P01	1corintios-14-12-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστε	ἐστε
MG0507	507	1corintios	763	765	14:12	14:13	1corintios-14-12-P02	1corintios-14-13-P01	3	candidate	"{""candidate"": 3}"	"{""independence_transition"": 3, ""subordination_transition"": 3}"	independence_transition+subordination_transition	ζητεῖτε	προσευχέσθω
MG0508	508	1corintios	766	766	14:13	14:13	1corintios-14-13-P02	1corintios-14-13-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	διερμηνεύῃ	διερμηνεύῃ
MG0509	509	1corintios	767	767	14:14	14:14	1corintios-14-14-P01	1corintios-14-14-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	προσεύχωμαι	προσεύχωμαι
