movement_group_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	group_signature	first_finite_verb	last_finite_verb
MG0590	590	1corintios	877	877	15:13	15:13	1corintios-15-13-P01	1corintios-15-13-P01	1	none	"{""none"": 1}"	{}	none	ἔστιν	ἔστιν
MG0591	591	1corintios	878	878	15:13	15:13	1corintios-15-13-P02	1corintios-15-13-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἐγήγερται	ἐγήγερται
MG0592	592	1corintios	879	879	15:14	15:14	1corintios-15-14-P01	1corintios-15-14-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἐγήγερται	ἐγήγερται
MG0593	593	1corintios	880	880	15:15	15:15	1corintios-15-15-P01	1corintios-15-15-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	εὑρισκόμεθα	εὑρισκόμεθα
MG0594	594	1corintios	881	881	15:15	15:15	1corintios-15-15-P02	1corintios-15-15-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐμαρτυρήσαμεν	ἐμαρτυρήσαμεν
MG0595	595	1corintios	882	882	15:15	15:15	1corintios-15-15-P03	1corintios-15-15-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἤγειρεν	ἤγειρεν
MG0596	596	1corintios	883	883	15:15	15:15	1corintios-15-15-P04	1corintios-15-15-P04	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἤγειρεν	ἤγειρεν
MG0597	597	1corintios	884	884	15:15	15:15	1corintios-15-15-P05	1corintios-15-15-P05	1	none	"{""none"": 1}"	{}	none	ἐγείρονται	ἐγείρονται
MG0598	598	1corintios	885	887	15:16	15:17	1corintios-15-16-P01	1corintios-15-17-P01	3	candidate	"{""candidate"": 3}"	"{""independence_transition"": 3, ""subordination_transition"": 3}"	independence_transition+subordination_transition	ἐγείρονται	ἐγήγερται
MG0599	599	1corintios	888	888	15:17	15:17	1corintios-15-17-P02	1corintios-15-17-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστὲ	ἐστὲ
MG0600	600	1corintios	889	889	15:18	15:18	1corintios-15-18-P01	1corintios-15-18-P01	1	none	"{""none"": 1}"	{}	none	ἀπώλοντο	ἀπώλοντο
MG0601	601	1corintios	890	890	15:19	15:19	1corintios-15-19-P01	1corintios-15-19-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἐσμὲν	ἐσμὲν
MG0602	602	1corintios	891	891	15:19	15:19	1corintios-15-19-P02	1corintios-15-19-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐσμέν	ἐσμέν
MG0603	603	1corintios	892	894	15:20	15:22	1corintios-15-20-P01	1corintios-15-22-P02	3	none	"{""none"": 3}"	{}	none	ἐγήγερται	ζῳοποιηθήσονται
MG0604	604	1corintios	895	895	15:24	15:24	1corintios-15-24-P01	1corintios-15-24-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	παραδιδῷ	παραδιδῷ
MG0605	605	1corintios	896	896	15:24	15:24	1corintios-15-24-P02	1corintios-15-24-P02	1	none	"{""none"": 1}"	{}	none	καταργήσῃ	καταργήσῃ
MG0606	606	1corintios	897	897	15:25	15:25	1corintios-15-25-P01	1corintios-15-25-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	δεῖ	δεῖ
MG0607	607	1corintios	898	900	15:25	15:27	1corintios-15-25-P02	1corintios-15-27-P01	3	none	"{""none"": 3}"	{}	none	θῇ	ὑπέταξεν
MG0608	608	1corintios	901	901	15:27	15:27	1corintios-15-27-P02	1corintios-15-27-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	εἴπῃ	εἴπῃ
MG0609	609	1corintios	902	903	15:27	15:28	1corintios-15-27-P03	1corintios-15-28-P01	2	none	"{""none"": 2}"	{}	none	ὑποτέτακται	ὑποταγῇ
MG0610	610	1corintios	904	905	15:28	15:28	1corintios-15-28-P02	1corintios-15-28-P03	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ὑποταγήσεται	ᾖ
MG0611	611	1corintios	906	906	15:29	15:29	1corintios-15-29-P01	1corintios-15-29-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ποιήσουσιν	ποιήσουσιν
MG0612	612	1corintios	907	907	15:29	15:29	1corintios-15-29-P02	1corintios-15-29-P02	1	none	"{""none"": 1}"	{}	none	ἐγείρονται	ἐγείρονται
MG0613	613	1corintios	908	908	15:29	15:29	1corintios-15-29-P03	1corintios-15-29-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	βαπτίζονται	βαπτίζονται
MG0614	614	1corintios	909	909	15:30	15:30	1corintios-15-30-P01	1corintios-15-30-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	κινδυνεύομεν	κινδυνεύομεν
MG0615	615	1corintios	910	910	15:31	15:31	1corintios-15-31-P01	1corintios-15-31-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἀποθνῄσκω	ἀποθνῄσκω
MG0616	616	1corintios	911	911	15:31	15:31	1corintios-15-31-P02	1corintios-15-31-P02	1	none	"{""none"": 1}"	{}	none	ἔχω	ἔχω
MG0617	617	1corintios	912	912	15:32	15:32	1corintios-15-32-P01	1corintios-15-32-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐθηριομάχησα	ἐθηριομάχησα
MG0618	618	1corintios	913	913	15:32	15:32	1corintios-15-32-P02	1corintios-15-32-P02	1	none	"{""none"": 1}"	{}	none	ἐγείρονται	ἐγείρονται
MG0619	619	1corintios	914	914	15:32	15:32	1corintios-15-32-P03	1corintios-15-32-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	φάγωμεν	φάγωμεν
MG0620	620	1corintios	915	916	15:32	15:32	1corintios-15-32-P04	1corintios-15-32-P05	2	none	"{""none"": 2}"	{}	none	πίωμεν	ἀποθνῄσκομεν
MG0621	621	1corintios	917	919	15:33	15:34	1corintios-15-33-P01	1corintios-15-34-P01	3	candidate	"{""candidate"": 3}"	"{""person_change"": 3}"	person_change	πλανᾶσθε	ἐκνήψατε
MG0622	622	1corintios	920	921	15:34	15:34	1corintios-15-34-P02	1corintios-15-34-P03	2	none	"{""none"": 2}"	{}	none	ἁμαρτάνετε	ἔχουσιν
MG0623	623	1corintios	922	922	15:34	15:34	1corintios-15-34-P04	1corintios-15-34-P04	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	λαλῶ	λαλῶ
MG0624	624	1corintios	923	923	15:35	15:35	1corintios-15-35-P01	1corintios-15-35-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἐρεῖ	ἐρεῖ
MG0625	625	1corintios	924	924	15:35	15:35	1corintios-15-35-P02	1corintios-15-35-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἐγείρονται	ἐγείρονται
MG0626	626	1corintios	925	925	15:35	15:35	1corintios-15-35-P03	1corintios-15-35-P03	1	none	"{""none"": 1}"	{}	none	ἔρχονται	ἔρχονται
MG0627	627	1corintios	926	926	15:36	15:36	1corintios-15-36-P01	1corintios-15-36-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	σπείρεις	σπείρεις
MG0628	628	1corintios	927	927	15:36	15:36	1corintios-15-36-P02	1corintios-15-36-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ζῳοποιεῖται	ζῳοποιεῖται
MG0629	629	1corintios	928	928	15:36	15:36	1corintios-15-36-P03	1corintios-15-36-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἀποθάνῃ	ἀποθάνῃ
MG0630	630	1corintios	929	929	15:37	15:37	1corintios-15-37-P01	1corintios-15-37-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	σπείρεις	σπείρεις
MG0631	631	1corintios	930	930	15:37	15:37	1corintios-15-37-P02	1corintios-15-37-P02	1	none	"{""none"": 1}"	{}	none	σπείρεις	σπείρεις
MG0632	632	1corintios	931	931	15:37	15:37	1corintios-15-37-P03	1corintios-15-37-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	τύχοι	τύχοι
MG0633	633	1corintios	932	932	15:38	15:38	1corintios-15-38-P01	1corintios-15-38-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	δίδωσιν	δίδωσιν
MG0634	634	1corintios	933	933	15:38	15:38	1corintios-15-38-P02	1corintios-15-38-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἠθέλησεν	ἠθέλησεν
MG0635	635	1corintios	934	934	15:41	15:41	1corintios-15-41-P01	1corintios-15-41-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	διαφέρει	διαφέρει
MG0636	636	1corintios	935	942	15:42	15:44	1corintios-15-42-P01	1corintios-15-44-P02	8	none	"{""none"": 8}"	{}	none	σπείρεται	ἐγείρεται
MG0637	637	1corintios	943	944	15:44	15:44	1corintios-15-44-P03	1corintios-15-44-P04	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἔστιν	ἔστιν
MG0638	638	1corintios	945	946	15:45	15:45	1corintios-15-45-P01	1corintios-15-45-P02	2	none	"{""none"": 2}"	{}	none	γέγραπται	ἐγένετο
MG0639	639	1corintios	947	947	15:49	15:49	1corintios-15-49-P01	1corintios-15-49-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐφορέσαμεν	ἐφορέσαμεν
MG0640	640	1corintios	948	948	15:49	15:49	1corintios-15-49-P02	1corintios-15-49-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	φορέσομεν	φορέσομεν
MG0641	641	1corintios	949	949	15:50	15:50	1corintios-15-50-P01	1corintios-15-50-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	φημι	φημι
MG0642	642	1corintios	950	950	15:50	15:50	1corintios-15-50-P02	1corintios-15-50-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	δύναται	δύναται
MG0643	643	1corintios	951	951	15:50	15:50	1corintios-15-50-P03	1corintios-15-50-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	κληρονομεῖ	κληρονομεῖ
MG0644	644	1corintios	952	952	15:51	15:51	1corintios-15-51-P01	1corintios-15-51-P01	1	none	"{""none"": 1}"	{}	none	λέγω	λέγω
MG0645	645	1corintios	953	953	15:51	15:51	1corintios-15-51-P02	1corintios-15-51-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	κοιμηθησόμεθα	κοιμηθησόμεθα
MG0646	646	1corintios	954	954	15:51	15:51	1corintios-15-51-P03	1corintios-15-51-P03	1	none	"{""none"": 1}"	{}	none	ἀλλαγησόμεθα	ἀλλαγησόμεθα
MG0647	647	1corintios	955	955	15:52	15:52	1corintios-15-52-P01	1corintios-15-52-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	σαλπίσει	σαλπίσει
MG0648	648	1corintios	956	956	15:52	15:52	1corintios-15-52-P02	1corintios-15-52-P02	1	none	"{""none"": 1}"	{}	none	ἐγερθήσονται	ἐγερθήσονται
MG0649	649	1corintios	957	958	15:52	15:53	1corintios-15-52-P03	1corintios-15-53-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἀλλαγησόμεθα	δεῖ
MG0650	650	1corintios	959	960	15:54	15:54	1corintios-15-54-P01	1corintios-15-54-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἐνδύσηται	ἐνδύσηται
MG0651	651	1corintios	961	962	15:54	15:54	1corintios-15-54-P03	1corintios-15-54-P04	2	none	"{""none"": 2}"	{}	none	γενήσεται	κατεπόθη
MG0652	652	1corintios	963	963	15:58	15:58	1corintios-15-58-P01	1corintios-15-58-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γίνεσθε	γίνεσθε
MG0653	653	1corintios	964	964	15:58	15:58	1corintios-15-58-P02	1corintios-15-58-P02	1	none	"{""none"": 1}"	{}	none	ἔστιν	ἔστιν
MG0654	654	1corintios	965	965	16:1	16:1	1corintios-16-1-P01	1corintios-16-1-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	διέταξα	διέταξα
MG0655	655	1corintios	966	966	16:1	16:1	1corintios-16-1-P02	1corintios-16-1-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ποιήσατε	ποιήσατε
MG0656	656	1corintios	967	967	16:2	16:2	1corintios-16-2-P01	1corintios-16-2-P01	1	none	"{""none"": 1}"	{}	none	τιθέτω	τιθέτω
MG0657	657	1corintios	968	968	16:2	16:2	1corintios-16-2-P02	1corintios-16-2-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	εὐοδῶται	εὐοδῶται
MG0658	658	1corintios	969	969	16:2	16:2	1corintios-16-2-P03	1corintios-16-2-P03	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἔλθω	ἔλθω
MG0659	659	1corintios	970	970	16:2	16:2	1corintios-16-2-P04	1corintios-16-2-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γίνωνται	γίνωνται
MG0660	660	1corintios	971	971	16:3	16:3	1corintios-16-3-P01	1corintios-16-3-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	παραγένωμαι	παραγένωμαι
MG0661	661	1corintios	972	972	16:3	16:3	1corintios-16-3-P02	1corintios-16-3-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	δοκιμάσητε	δοκιμάσητε
MG0662	662	1corintios	973	973	16:3	16:3	1corintios-16-3-P03	1corintios-16-3-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	πέμψω	πέμψω
MG0663	663	1corintios	974	974	16:4	16:4	1corintios-16-4-P01	1corintios-16-4-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ᾖ	ᾖ
MG0664	664	1corintios	975	975	16:4	16:4	1corintios-16-4-P02	1corintios-16-4-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	πορεύσονται	πορεύσονται
MG0665	665	1corintios	976	976	16:5	16:5	1corintios-16-5-P01	1corintios-16-5-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐλεύσομαι	ἐλεύσομαι
MG0666	666	1corintios	977	978	16:5	16:5	1corintios-16-5-P02	1corintios-16-5-P03	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	διέλθω	διέρχομαι
MG0667	667	1corintios	979	980	16:6	16:6	1corintios-16-6-P01	1corintios-16-6-P02	2	none	"{""none"": 2}"	{}	none	παραμενῶ	παραχειμάσω
MG0668	668	1corintios	981	981	16:6	16:6	1corintios-16-6-P03	1corintios-16-6-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	προπέμψητε	προπέμψητε
MG0669	669	1corintios	982	982	16:6	16:6	1corintios-16-6-P04	1corintios-16-6-P04	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	πορεύωμαι	πορεύωμαι
MG0670	670	1corintios	983	983	16:7	16:7	1corintios-16-7-P01	1corintios-16-7-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	θέλω	θέλω
MG0671	671	1corintios	984	984	16:7	16:7	1corintios-16-7-P02	1corintios-16-7-P02	1	none	"{""none"": 1}"	{}	none	ἐλπίζω	ἐλπίζω
MG0672	672	1corintios	985	986	16:7	16:8	1corintios-16-7-P03	1corintios-16-8-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἐπιτρέψῃ	ἐπιμενῶ
MG0673	673	1corintios	987	987	16:9	16:9	1corintios-16-9-P01	1corintios-16-9-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἀνέῳγεν	ἀνέῳγεν
MG0674	674	1corintios	988	988	16:10	16:10	1corintios-16-10-P01	1corintios-16-10-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἔλθῃ	ἔλθῃ
MG0675	675	1corintios	989	989	16:10	16:10	1corintios-16-10-P02	1corintios-16-10-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	βλέπετε	βλέπετε
MG0676	676	1corintios	990	990	16:10	16:10	1corintios-16-10-P03	1corintios-16-10-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γένηται	γένηται
MG0677	677	1corintios	991	991	16:10	16:10	1corintios-16-10-P04	1corintios-16-10-P04	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐργάζεται	ἐργάζεται
MG0678	678	1corintios	992	992	16:11	16:11	1corintios-16-11-P01	1corintios-16-11-P01	1	none	"{""none"": 1}"	{}	none	ἐξουθενήσῃ	ἐξουθενήσῃ
MG0679	679	1corintios	993	993	16:11	16:11	1corintios-16-11-P02	1corintios-16-11-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	προπέμψατε	προπέμψατε
MG0680	680	1corintios	994	994	16:11	16:11	1corintios-16-11-P03	1corintios-16-11-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἔλθῃ	ἔλθῃ
MG0681	681	1corintios	995	995	16:11	16:11	1corintios-16-11-P04	1corintios-16-11-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἐκδέχομαι	ἐκδέχομαι
MG0682	682	1corintios	996	996	16:12	16:12	1corintios-16-12-P01	1corintios-16-12-P01	1	none	"{""none"": 1}"	{}	none	παρεκάλεσα	παρεκάλεσα
MG0683	683	1corintios	997	997	16:12	16:12	1corintios-16-12-P02	1corintios-16-12-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἔλθῃ	ἔλθῃ
MG0684	684	1corintios	998	1002	16:12	16:14	1corintios-16-12-P03	1corintios-16-14-P01	5	candidate	"{""candidate"": 5}"	"{""independence_transition"": 5, ""subordination_transition"": 5}"	independence_transition+subordination_transition	ἦν	γινέσθω
MG0685	685	1corintios	1003	1003	16:15	16:15	1corintios-16-15-P01	1corintios-16-15-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	παρακαλῶ	παρακαλῶ
MG0686	686	1corintios	1004	1004	16:15	16:15	1corintios-16-15-P02	1corintios-16-15-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	οἴδατε	οἴδατε
MG0687	687	1corintios	1005	1005	16:15	16:15	1corintios-16-15-P03	1corintios-16-15-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστὶν	ἐστὶν
MG0688	688	1corintios	1006	1006	16:15	16:15	1corintios-16-15-P04	1corintios-16-15-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἔταξαν	ἔταξαν
MG0689	689	1corintios	1007	1007	16:16	16:16	1corintios-16-16-P01	1corintios-16-16-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ὑποτάσσησθε	ὑποτάσσησθε
MG0690	690	1corintios	1008	1008	16:17	16:17	1corintios-16-17-P01	1corintios-16-17-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	χαίρω	χαίρω
MG0691	691	1corintios	1009	1009	16:17	16:17	1corintios-16-17-P02	1corintios-16-17-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἀνεπλήρωσαν	ἀνεπλήρωσαν
MG0692	692	1corintios	1010	1010	16:18	16:18	1corintios-16-18-P01	1corintios-16-18-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἀνέπαυσαν	ἀνέπαυσαν
MG0693	693	1corintios	1011	1012	16:18	16:19	1corintios-16-18-P02	1corintios-16-19-P01	2	candidate	"{""candidate"": 2}"	"{""person_change"": 2}"	person_change	ἐπιγινώσκετε	ἀσπάζονται
MG0694	694	1corintios	1013	1014	16:19	16:20	1corintios-16-19-P02	1corintios-16-20-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2}"	number_change	ἀσπάζεται	ἀσπάζονται
MG0695	695	1corintios	1015	1015	16:20	16:20	1corintios-16-20-P02	1corintios-16-20-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἀσπάσασθε	ἀσπάσασθε
MG0696	696	1corintios	1016	1017	16:22	16:22	1corintios-16-22-P01	1corintios-16-22-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	φιλεῖ	ἤτω
MG0697	697	1corintios	1018	1018	16:22	16:22	1corintios-16-22-P03	1corintios-16-22-P03	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	θά	θά
