stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons
1	1corintios	1	4	1corintios-1-4-P01		εὐχαριστῶ	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	initial	existing_continuity_status	candidate	not_detected	strong	1	"[""stream_start""]"
2	1corintios	1	5	1corintios-1-5-P01	1corintios-1-4-P01	ἐπλουτίσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
3	1corintios	1	6	1corintios-1-6-P01	1corintios-1-5-P01	ἐβεβαιώθη	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
4	1corintios	1	8	1corintios-1-8-P01	1corintios-1-6-P01	βεβαιώσει	V-FAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
5	1corintios	1	9	1corintios-1-9-P01	1corintios-1-8-P01	ἐκλήθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
6	1corintios	1	10	1corintios-1-10-P01	1corintios-1-9-P01	παρακαλῶ	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
7	1corintios	1	10	1corintios-1-10-P02	1corintios-1-10-P01	λέγητε	V-PAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
8	1corintios	1	10	1corintios-1-10-P03	1corintios-1-10-P02	ᾖ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
9	1corintios	1	10	1corintios-1-10-P04	1corintios-1-10-P03	ἦτε	V-PAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
10	1corintios	1	11	1corintios-1-11-P01	1corintios-1-10-P04	ἐδηλώθη	V-API-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
11	1corintios	1	11	1corintios-1-11-P02	1corintios-1-11-P01	εἰσιν	V-PAI-3P	3	P	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
12	1corintios	1	12	1corintios-1-12-P01	1corintios-1-11-P02	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
13	1corintios	1	12	1corintios-1-12-P02	1corintios-1-12-P01	λέγει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
14	1corintios	1	12	1corintios-1-12-P03	1corintios-1-12-P02	εἰμι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
15	1corintios	1	13	1corintios-1-13-P01	1corintios-1-12-P03	μεμέρισται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
16	1corintios	1	13	1corintios-1-13-P02	1corintios-1-13-P01	ἐσταυρώθη	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
17	1corintios	1	13	1corintios-1-13-P03	1corintios-1-13-P02	ἐβαπτίσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
18	1corintios	1	14	1corintios-1-14-P01	1corintios-1-13-P03	εὐχαριστῶ	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
19	1corintios	1	14	1corintios-1-14-P02	1corintios-1-14-P01	ἐβάπτισα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
20	1corintios	1	15	1corintios-1-15-P01	1corintios-1-14-P02	εἴπῃ	V-AAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	candidate	2	"[""person_change"", ""subject_shift""]"
21	1corintios	1	15	1corintios-1-15-P02	1corintios-1-15-P01	ἐβαπτίσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
22	1corintios	1	16	1corintios-1-16-P01	1corintios-1-15-P02	ἐβάπτισα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
23	1corintios	1	16	1corintios-1-16-P02	1corintios-1-16-P01	οἶδα	V-XAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
24	1corintios	1	16	1corintios-1-16-P03	1corintios-1-16-P02	ἐβάπτισα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
25	1corintios	1	17	1corintios-1-17-P01	1corintios-1-16-P03	ἀπέστειλέν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
26	1corintios	1	17	1corintios-1-17-P02	1corintios-1-17-P01	κενωθῇ	V-APS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
27	1corintios	1	18	1corintios-1-18-P01	1corintios-1-17-P02	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
28	1corintios	1	18	1corintios-1-18-P02	1corintios-1-18-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
29	1corintios	1	19	1corintios-1-19-P01	1corintios-1-18-P02	γέγραπται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
30	1corintios	1	19	1corintios-1-19-P02	1corintios-1-19-P01	ἀπολῶ	V-FAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
31	1corintios	1	19	1corintios-1-19-P03	1corintios-1-19-P02	ἀθετήσω	V-FAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
32	1corintios	1	20	1corintios-1-20-P01	1corintios-1-19-P03	ἐμώρανεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
33	1corintios	1	21	1corintios-1-21-P01	1corintios-1-20-P01	ἔγνω	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
34	1corintios	1	21	1corintios-1-21-P02	1corintios-1-21-P01	εὐδόκησεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
35	1corintios	1	22	1corintios-1-22-P01	1corintios-1-21-P02	αἰτοῦσιν	V-PAI-3P	3	P	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
36	1corintios	1	22	1corintios-1-22-P02	1corintios-1-22-P01	ζητοῦσιν	V-PAI-3P	3	P	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
37	1corintios	1	23	1corintios-1-23-P01	1corintios-1-22-P02	κηρύσσομεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
38	1corintios	1	25	1corintios-1-25-P01	1corintios-1-23-P01	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
39	1corintios	1	26	1corintios-1-26-P01	1corintios-1-25-P01	βλέπετε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
40	1corintios	1	27	1corintios-1-27-P01	1corintios-1-26-P01	ἐξελέξατο	V-AMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
41	1corintios	1	27	1corintios-1-27-P02	1corintios-1-27-P01	καταισχύνῃ	V-PAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
42	1corintios	1	27	1corintios-1-27-P03	1corintios-1-27-P02	ἐξελέξατο	V-AMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
43	1corintios	1	27	1corintios-1-27-P04	1corintios-1-27-P03	καταισχύνῃ	V-PAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
44	1corintios	1	28	1corintios-1-28-P01	1corintios-1-27-P04	ἐξελέξατο	V-AMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
45	1corintios	1	28	1corintios-1-28-P02	1corintios-1-28-P01	καταργήσῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
46	1corintios	1	29	1corintios-1-29-P01	1corintios-1-28-P02	καυχήσηται	V-AMS-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	none	0	[]
