observation_type	rank	chapter	chapter_b	metric	value	delta	note
adjacent_chapter_shift	1	7	8	total_predications	29	-84.0	total_predications changes from 113 to 29 between chapters 7 and 8
adjacent_chapter_shift	2	13	14	total_predications	110	68.0	total_predications changes from 42 to 110 between chapters 13 and 14
adjacent_chapter_shift	3	15	16	total_predications	54	-66.0	total_predications changes from 120 to 54 between chapters 15 and 16
adjacent_chapter_shift	4	6	7	total_predications	113	60.0	total_predications changes from 53 to 113 between chapters 6 and 7
adjacent_chapter_shift	5	7	8	finite_3S	15	-58.0	finite_3S changes from 73 to 15 between chapters 7 and 8
adjacent_chapter_shift	6	6	7	finite_3S	73	52.0	finite_3S changes from 21 to 73 between chapters 6 and 7
adjacent_chapter_shift	7	8	9	total_predications	72	43.0	total_predications changes from 29 to 72 between chapters 8 and 9
adjacent_chapter_shift	8	13	14	finite_3S	58	38.0	finite_3S changes from 20 to 58 between chapters 13 and 14
adjacent_chapter_shift	9	15	16	finite_3S	20	-38.0	finite_3S changes from 58 to 20 between chapters 15 and 16
adjacent_chapter_shift	10	4	5	total_predications	20	-36.0	total_predications changes from 56 to 20 between chapters 4 and 5
adjacent_chapter_shift	11	5	6	total_predications	53	33.0	total_predications changes from 20 to 53 between chapters 5 and 6
adjacent_chapter_shift	12	8	9	finite_1S	31	29.0	finite_1S changes from 2 to 31 between chapters 8 and 9
adjacent_chapter_shift	13	13	14	subject_candidate	36	28.0	subject_candidate changes from 8 to 36 between chapters 13 and 14
adjacent_chapter_shift	14	15	16	subject_candidate	8	-27.0	subject_candidate changes from 35 to 8 between chapters 15 and 16
adjacent_chapter_shift	15	2	3	total_predications	57	26.0	total_predications changes from 31 to 57 between chapters 2 and 3
adjacent_chapter_shift	16	11	12	total_predications	53	-25.0	total_predications changes from 78 to 53 between chapters 11 and 12
adjacent_chapter_shift	17	13	14	independence_unresolved	34	25.0	independence_unresolved changes from 9 to 34 between chapters 13 and 14
adjacent_chapter_shift	18	13	14	subordination_candidate	34	25.0	subordination_candidate changes from 9 to 34 between chapters 13 and 14
adjacent_chapter_shift	19	3	4	finite_3S	15	-23.0	finite_3S changes from 38 to 15 between chapters 3 and 4
adjacent_chapter_shift	20	7	8	subject_candidate	11	-21.0	subject_candidate changes from 32 to 11 between chapters 7 and 8
adjacent_chapter_shift	21	9	10	finite_1S	10	-21.0	finite_1S changes from 31 to 10 between chapters 9 and 10
zero_metric		1		finite_2S	0		chapter 1 has zero count for finite_2S
zero_metric		1		subject_unresolved	0		chapter 1 has zero count for subject_unresolved
zero_metric		1		subordination_unresolved	0		chapter 1 has zero count for subordination_unresolved
zero_metric		2		finite_2S	0		chapter 2 has zero count for finite_2S
zero_metric		2		finite_2P	0		chapter 2 has zero count for finite_2P
zero_metric		2		subject_unresolved	0		chapter 2 has zero count for subject_unresolved
zero_metric		2		subordination_unresolved	0		chapter 2 has zero count for subordination_unresolved
zero_metric		3		finite_2S	0		chapter 3 has zero count for finite_2S
zero_metric		3		subject_unresolved	0		chapter 3 has zero count for subject_unresolved
zero_metric		3		subordination_unresolved	0		chapter 3 has zero count for subordination_unresolved
zero_metric		4		subject_unresolved	0		chapter 4 has zero count for subject_unresolved
zero_metric		4		subordination_unresolved	0		chapter 4 has zero count for subordination_unresolved
zero_metric		5		finite_2S	0		chapter 5 has zero count for finite_2S
zero_metric		5		finite_3P	0		chapter 5 has zero count for finite_3P
zero_metric		5		subject_unresolved	0		chapter 5 has zero count for subject_unresolved
zero_metric		5		subordination_unresolved	0		chapter 5 has zero count for subordination_unresolved
zero_metric		6		finite_2S	0		chapter 6 has zero count for finite_2S
zero_metric		6		subject_unresolved	0		chapter 6 has zero count for subject_unresolved
zero_metric		6		subordination_unresolved	0		chapter 6 has zero count for subordination_unresolved
zero_metric		7		finite_1P	0		chapter 7 has zero count for finite_1P
zero_metric		7		subject_unresolved	0		chapter 7 has zero count for subject_unresolved
zero_metric		7		subordination_unresolved	0		chapter 7 has zero count for subordination_unresolved
zero_metric		8		finite_2S	0		chapter 8 has zero count for finite_2S
zero_metric		8		subject_unresolved	0		chapter 8 has zero count for subject_unresolved
zero_metric		8		subordination_unresolved	0		chapter 8 has zero count for subordination_unresolved
zero_metric		9		subject_unresolved	0		chapter 9 has zero count for subject_unresolved
zero_metric		9		subordination_unresolved	0		chapter 9 has zero count for subordination_unresolved
zero_metric		10		finite_2S	0		chapter 10 has zero count for finite_2S
zero_metric		10		subject_unresolved	0		chapter 10 has zero count for subject_unresolved
zero_metric		10		subordination_unresolved	0		chapter 10 has zero count for subordination_unresolved
zero_metric		11		finite_2S	0		chapter 11 has zero count for finite_2S
zero_metric		11		subject_unresolved	0		chapter 11 has zero count for subject_unresolved
zero_metric		11		subordination_unresolved	0		chapter 11 has zero count for subordination_unresolved
zero_metric		12		finite_2S	0		chapter 12 has zero count for finite_2S
zero_metric		12		subject_unresolved	0		chapter 12 has zero count for subject_unresolved
zero_metric		12		subordination_unresolved	0		chapter 12 has zero count for subordination_unresolved
zero_metric		13		finite_2S	0		chapter 13 has zero count for finite_2S
zero_metric		13		finite_2P	0		chapter 13 has zero count for finite_2P
zero_metric		13		subject_unresolved	0		chapter 13 has zero count for subject_unresolved
zero_metric		13		subordination_unresolved	0		chapter 13 has zero count for subordination_unresolved
zero_metric		14		finite_1P	0		chapter 14 has zero count for finite_1P
zero_metric		14		subject_unresolved	0		chapter 14 has zero count for subject_unresolved
zero_metric		14		subordination_unresolved	0		chapter 14 has zero count for subordination_unresolved
zero_metric		15		subject_unresolved	0		chapter 15 has zero count for subject_unresolved
zero_metric		15		subordination_unresolved	0		chapter 15 has zero count for subordination_unresolved
zero_metric		16		finite_1P	0		chapter 16 has zero count for finite_1P
zero_metric		16		subject_unresolved	0		chapter 16 has zero count for subject_unresolved
zero_metric		16		subordination_unresolved	0		chapter 16 has zero count for subordination_unresolved
