book	chapter	continuity_source	continuity_status	finite_compact	finite_verb	independence_status	movement_reason_count	movement_reasons	movement_status	predication_id	previous_predication_id	stream_index	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subordination_status	verse	continuity_status_refined	continuity_refinement
1corintios	1	existing_continuity_status	same	V-XAI-1S	οἶδα	candidate	0	[]	none	1corintios-1-16-P02	1corintios-1-16-P01	23	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	16	same	none
1corintios	1	existing_continuity_status	same	V-AAI-1S	ἐβάπτισα	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-16-P03	1corintios-1-16-P02	24	S	1	finite_verb_morphology	explicit_or_morphological	candidate	16	same	none
1corintios	1	existing_continuity_status	shift	V-AAI-3S	ἀπέστειλέν	candidate	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-17-P01	1corintios-1-16-P03	25	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	17	shift	none
1corintios	1	existing_continuity_status	same	V-APS-3S	κενωθῇ	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-17-P02	1corintios-1-17-P01	26	S	3	finite_verb_morphology	explicit_or_morphological	candidate	17	same	none
1corintios	1	existing_continuity_status	same	V-PAI-3S	ἐστίν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-18-P01	1corintios-1-17-P02	27	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	18	same	none
1corintios	1	existing_continuity_status	same	V-PAI-3S	ἐστιν	candidate	0	[]	none	1corintios-1-18-P02	1corintios-1-18-P01	28	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	18	same	none
1corintios	1	existing_continuity_status	same	V-XPI-3S	γέγραπται	candidate	0	[]	none	1corintios-1-19-P01	1corintios-1-18-P02	29	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	19	same	none
1corintios	1	existing_continuity_status	shift	V-FAI-1S	ἀπολῶ	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-1-19-P02	1corintios-1-19-P01	30	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	19	shift	none
1corintios	1	existing_continuity_status	same	V-FAI-1S	ἀθετήσω	candidate	0	[]	none	1corintios-1-19-P03	1corintios-1-19-P02	31	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	19	same	none
1corintios	1	existing_continuity_status	shift	V-AAI-3S	ἐμώρανεν	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-1-20-P01	1corintios-1-19-P03	32	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	20	shift	none
1corintios	1	existing_continuity_status	same	V-AAI-3S	ἔγνω	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-21-P01	1corintios-1-20-P01	33	S	3	finite_verb_morphology	explicit_or_morphological	candidate	21	same	none
1corintios	1	existing_continuity_status	same	V-AAI-3S	εὐδόκησεν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-21-P02	1corintios-1-21-P01	34	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	21	same	none
1corintios	1	existing_continuity_status	shift	V-PAI-3P	αἰτοῦσιν	unresolved	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-22-P01	1corintios-1-21-P02	35	P	3	finite_compact_person_number	finite_morphology_fallback	candidate	22	shift	none
1corintios	1	existing_continuity_status	same	V-PAI-3P	ζητοῦσιν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-22-P02	1corintios-1-22-P01	36	P	3	finite_compact_person_number	finite_morphology_fallback	not_detected	22	same	none
1corintios	1	existing_continuity_status	shift	V-PAI-1P	κηρύσσομεν	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-1-23-P01	1corintios-1-22-P02	37	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	23	shift	none
1corintios	1	existing_continuity_status	shift	V-PAI-3S	ἐστίν	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-25-P01	1corintios-1-23-P01	38	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	25	shift	none
1corintios	1	existing_continuity_status	shift	V-PAI-2P	βλέπετε	candidate	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-26-P01	1corintios-1-25-P01	39	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	26	shift	none
1corintios	1	existing_continuity_status	shift	V-AMI-3S	ἐξελέξατο	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-27-P01	1corintios-1-26-P01	40	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	27	shift	none
1corintios	1	existing_continuity_status	same	V-PAS-3S	καταισχύνῃ	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-27-P02	1corintios-1-27-P01	41	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	27	same	none
1corintios	1	existing_continuity_status	same	V-AMI-3S	ἐξελέξατο	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-27-P03	1corintios-1-27-P02	42	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	27	same	none
1corintios	1	existing_continuity_status	same	V-PAS-3S	καταισχύνῃ	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-27-P04	1corintios-1-27-P03	43	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	27	same	none
1corintios	1	existing_continuity_status	same	V-AMI-3S	ἐξελέξατο	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-28-P01	1corintios-1-27-P04	44	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	28	same	none
1corintios	1	existing_continuity_status	same	V-AAS-3S	καταργήσῃ	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-28-P02	1corintios-1-28-P01	45	S	3	finite_verb_morphology	explicit_or_morphological	candidate	28	same	none
1corintios	1	existing_continuity_status	same	V-AMS-3S	καυχήσηται	unresolved	0	[]	none	1corintios-1-29-P01	1corintios-1-28-P02	46	S	3	finite_verb_morphology	explicit_or_morphological	candidate	29	same	none
1corintios	1	existing_continuity_status	shift	V-PAI-2P	ἐστε	candidate	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-30-P01	1corintios-1-29-P01	47	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	30	shift	none
1corintios	1	existing_continuity_status	shift	V-API-3S	ἐγενήθη	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-30-P02	1corintios-1-30-P01	48	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	30	shift	none
