summary_type	name	count
movement	candidate	1388
movement	none	756
movement	strong	1260
continuity	initial	3
continuity	same	1599
continuity	shift	1802
reason	independence_transition	1670
reason	number_change	1146
reason	person_change	1495
reason	stream_start	3
reason	subject_shift	1802
reason	subordination_transition	1670
