structural_signature_id	source_regime_id	merged_regime_id	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	max_structural_weight	weight_per_record	structural_density	turbulence_density	stable_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	continuity_initial_density	dominant_movement_class	dominant_movement_status	dominant_continuity_status	dominant_subject_profile	movement_class_counts	movement_status_counts	continuity_counts	subject_profile_counts	signature_code
SMR0060	SR0176	SMR0060	1corintios	501	506	10:9	10:10	6	10	2	1.6667	0.5	0.3333	0.1667	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 1, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 1}"	"{""unresolved"": 6}"	"{""--"": 1, ""1P"": 1, ""2P"": 2, ""3P"": 2}"	structural=high|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0061	SR0179	SMR0061	1corintios	507	519	10:11	10:15	13	34	6	2.6154	0.4615	0.3077	0.2308	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 6, ""turbulence"": 4}"	"{""candidate"": 8, ""none"": 3, ""strong"": 2}"	"{""unresolved"": 13}"	"{""--"": 2, ""1S"": 2, ""2P"": 3, ""3S"": 6}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0062	SR0185	SMR0062	1corintios	520	527	10:16	10:18	8	8	2	1.0	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	1P	"{""stable"": 4, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 4}"	"{""unresolved"": 8}"	"{""1P"": 6, ""2P"": 2}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0063	SR0187	SMR0063	1corintios	528	535	10:19	10:21	8	16	4	2.0	0.375	0.25	0.375	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1S	"{""stable"": 3, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 3}"	"{""unresolved"": 8}"	"{""--"": 2, ""1S"": 2, ""2P"": 2, ""3P"": 2}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0064	SR0190	SMR0064	1corintios	536	568	10:22	11:3	33	64	6	1.9394	0.3636	0.2121	0.4242	0.0	0.0	1.0	0.0	stable	candidate	unresolved	2P	"{""stable"": 14, ""structural"": 12, ""turbulence"": 7}"	"{""candidate"": 15, ""none"": 14, ""strong"": 4}"	"{""unresolved"": 33}"	"{""--"": 2, ""1P"": 7, ""1S"": 10, ""2P"": 13, ""3P"": 1}"	structural=medium|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0065	SR0199	SMR0065	1corintios	569	580	11:4	11:13	12	16	4	1.3333	0.1667	0.3333	0.5	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 6, ""structural"": 2, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 6, ""strong"": 1}"	"{""unresolved"": 12}"	"{""2P"": 1, ""3S"": 11}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0066	SR0201	SMR0066	1corintios	581	593	11:13	11:18	13	34	6	2.6154	0.3846	0.3846	0.2308	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 5, ""turbulence"": 5}"	"{""candidate"": 7, ""none"": 3, ""strong"": 3}"	"{""unresolved"": 13}"	"{""1P"": 1, ""1S"": 3, ""2P"": 1, ""3S"": 8}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0067	SR0206	SMR0067	1corintios	594	599	11:19	11:21	6	6	2	1.0	0.1667	0.3333	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	"{""unresolved"": 6}"	"{""--"": 1, ""3S"": 5}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0068	SR0207	SMR0068	1corintios	600	602	11:22	11:22	3	4	4	1.3333	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	2P	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	"{""unresolved"": 3}"	"{""2P"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0069	SR0208	SMR0069	1corintios	603	629	11:22	11:30	27	28	4	1.037	0.1852	0.1852	0.6296	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 17, ""structural"": 5, ""turbulence"": 5}"	"{""candidate"": 9, ""none"": 17, ""strong"": 1}"	"{""unresolved"": 27}"	"{""--"": 1, ""1S"": 5, ""2P"": 7, ""3P"": 1, ""3S"": 13}"	structural=low|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0070	SR0210	SMR0070	1corintios	630	640	11:31	12:1	11	28	6	2.5455	0.4545	0.2727	0.2727	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1P	"{""stable"": 3, ""structural"": 5, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 3, ""strong"": 3}"	"{""unresolved"": 11}"	"{""1P"": 4, ""1S"": 3, ""2P"": 3, ""3S"": 1}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0071	SR0216	SMR0071	1corintios	641	646	12:2	12:3	6	24	6	4.0	0.6667	0.1667	0.1667	0.0	0.0	1.0	0.0	structural	strong	unresolved	2P	"{""stable"": 1, ""structural"": 4, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1, ""strong"": 3}"	"{""unresolved"": 6}"	"{""1S"": 2, ""2P"": 4}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0072	SR0220	SMR0072	1corintios	647	649	12:4	12:6	3	4	4	1.3333	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	3P	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	"{""unresolved"": 3}"	"{""3P"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0073	SR0221	SMR0073	1corintios	650	656	12:7	12:12	7	6	2	0.8571	0.1429	0.2857	0.5714	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 4}"	"{""unresolved"": 7}"	"{""--"": 1, ""3S"": 6}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0074	SR0222	SMR0074	1corintios	657	666	12:13	12:16	10	22	6	2.2	0.5	0.3	0.2	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 5, ""turbulence"": 3}"	"{""candidate"": 7, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 10}"	"{""1P"": 3, ""1S"": 4, ""3S"": 3}"	structural=high|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0075	SR0227	SMR0075	1corintios	667	681	12:16	12:25	15	20	6	1.3333	0.3333	0.1333	0.5333	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 8, ""structural"": 5, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 8, ""strong"": 2}"	"{""unresolved"": 15}"	"{""1P"": 5, ""1S"": 3, ""3P"": 1, ""3S"": 6}"	structural=medium|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0076	SR0230	SMR0076	1corintios	682	686	12:26	12:27	5	6	4	1.2	0.4	0.0	0.6	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 3, ""structural"": 2}"	"{""candidate"": 2, ""none"": 3}"	"{""unresolved"": 5}"	"{""2P"": 1, ""3S"": 4}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0077	SR0232	SMR0077	1corintios	687	692	12:28	12:31	6	12	4	2.0	0.5	0.0	0.5	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 3}"	"{""candidate"": 3, ""none"": 3}"	"{""unresolved"": 6}"	"{""1S"": 1, ""2P"": 1, ""3S"": 4}"	structural=high|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0078	SR0235	SMR0078	1corintios	693	723	13:1	13:10	31	30	6	0.9677	0.129	0.1935	0.6774	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 21, ""structural"": 4, ""turbulence"": 6}"	"{""candidate"": 8, ""none"": 21, ""strong"": 2}"	"{""unresolved"": 31}"	"{""1P"": 3, ""1S"": 9, ""3S"": 19}"	structural=low|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0079	SR0239	SMR0079	1corintios	724	730	13:11	13:12	7	12	4	1.7143	0.2857	0.4286	0.2857	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 7}"	"{""1P"": 1, ""1S"": 6}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0080	SR0241	SMR0080	1corintios	731	734	13:12	13:13	4	8	4	2.0	0.5	0.25	0.25	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1S	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 4}"	"{""1S"": 3, ""3S"": 1}"	structural=high|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0081	SR0243	SMR0081	1corintios	735	737	14:1	14:1	3	6	4	2.0	0.3333	0.3333	0.3333	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	"{""unresolved"": 3}"	"{""2P"": 3}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0082	SR0244	SMR0082	1corintios	738	744	14:2	14:5	7	8	6	1.1429	0.2857	0.0	0.7143	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 5, ""structural"": 2}"	"{""candidate"": 1, ""none"": 5, ""strong"": 1}"	"{""unresolved"": 7}"	"{""1S"": 1, ""3S"": 6}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0083	SR0246	SMR0083	1corintios	745	747	14:5	14:5	3	6	6	2.0	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	2P	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	"{""unresolved"": 3}"	"{""2P"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0084	SR0247	SMR0084	1corintios	748	756	14:6	14:9	9	32	6	3.5556	0.6667	0.2222	0.1111	0.0	0.0	1.0	0.0	structural	strong	unresolved	1S	"{""stable"": 1, ""structural"": 6, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1, ""strong"": 5}"	"{""unresolved"": 9}"	"{""1S"": 5, ""2P"": 1, ""3S"": 3}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0085	SR0253	SMR0085	1corintios	757	761	14:9	14:11	5	16	6	3.2	0.4	0.6	0.0	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	2P	"{""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 4, ""strong"": 1}"	"{""unresolved"": 5}"	"{""1S"": 2, ""2P"": 3}"	structural=medium|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0086	SR0255	SMR0086	1corintios	762	770	14:12	14:15	9	30	6	3.3333	0.5556	0.3333	0.1111	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 1, ""structural"": 5, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 1, ""strong"": 3}"	"{""unresolved"": 9}"	"{""1S"": 1, ""2P"": 6, ""3S"": 2}"	structural=high|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0087	SR0260	SMR0087	1corintios	771	780	14:15	14:17	10	20	4	2.0	0.6	0.0	0.4	0.0	0.0	1.0	0.0	structural	none	unresolved	1S	"{""stable"": 4, ""structural"": 6}"	"{""candidate"": 2, ""none"": 4, ""strong"": 4}"	"{""unresolved"": 10}"	"{""1S"": 4, ""2S"": 4, ""3S"": 2}"	structural=high|turbulence=none|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0088	SR0266	SMR0088	1corintios	781	784	14:18	14:19	4	4	2	1.0	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	"{""unresolved"": 4}"	"{""1S"": 4}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0089	SR0267	SMR0089	1corintios	785	798	14:20	14:24	14	36	6	2.5714	0.6429	0.0714	0.2857	0.0	0.0	1.0	0.0	structural	strong	unresolved	2P	"{""stable"": 4, ""structural"": 9, ""turbulence"": 1}"	"{""candidate"": 5, ""none"": 4, ""strong"": 5}"	"{""unresolved"": 14}"	"{""1S"": 2, ""2P"": 5, ""3P"": 3, ""3S"": 4}"	structural=high|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0090	SR0276	SMR0090	1corintios	799	806	14:24	14:26	8	16	6	2.0	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 4, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4, ""strong"": 2}"	"{""unresolved"": 8}"	"{""--"": 1, ""2P"": 1, ""3S"": 6}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0091	SR0278	SMR0091	1corintios	807	825	14:26	14:32	19	30	6	1.5789	0.2105	0.2105	0.5789	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 11, ""structural"": 4, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 11, ""strong"": 3}"	"{""unresolved"": 19}"	"{""2P"": 3, ""3S"": 16}"	structural=low|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0092	SR0282	SMR0092	1corintios	826	828	14:33	14:34	3	4	4	1.3333	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	"{""unresolved"": 3}"	"{""3S"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0093	SR0283	SMR0093	1corintios	829	838	14:34	14:37	10	14	2	1.4	0.3	0.4	0.3	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	3S	"{""stable"": 3, ""structural"": 3, ""turbulence"": 4}"	"{""candidate"": 7, ""none"": 3}"	"{""unresolved"": 10}"	"{""--"": 2, ""1S"": 1, ""3P"": 3, ""3S"": 4}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0094	SR0285	SMR0094	1corintios	839	846	14:37	15:1	8	20	6	2.5	0.5	0.25	0.25	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 2, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 2, ""strong"": 2}"	"{""unresolved"": 8}"	"{""1S"": 2, ""2P"": 2, ""3S"": 4}"	structural=high|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0095	SR0289	SMR0095	1corintios	847	855	15:1	15:3	9	26	6	2.8889	0.5556	0.0	0.4444	0.0	0.0	1.0	0.0	structural	none	unresolved	2P	"{""stable"": 4, ""structural"": 5}"	"{""candidate"": 2, ""none"": 4, ""strong"": 3}"	"{""unresolved"": 9}"	"{""1S"": 3, ""2P"": 6}"	structural=high|turbulence=none|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0096	SR0294	SMR0096	1corintios	856	863	15:4	15:8	8	10	4	1.25	0.375	0.125	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	3S	"{""stable"": 4, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 4, ""none"": 4}"	"{""unresolved"": 8}"	"{""3P"": 1, ""3S"": 7}"	structural=medium|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0097	SR0297	SMR0097	1corintios	864	871	15:9	15:11	8	4	2	0.5	0.25	0.0	0.75	0.0	0.0	1.0	0.0	stable	none	unresolved	1S	"{""stable"": 6, ""structural"": 2}"	"{""candidate"": 2, ""none"": 6}"	"{""unresolved"": 8}"	"{""1P"": 1, ""1S"": 7}"	structural=medium|turbulence=none|stable=very_high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0098	SR0299	SMR0098	1corintios	872	881	15:11	15:15	10	28	6	2.8	0.6	0.2	0.2	0.0	0.0	1.0	0.0	structural	strong	unresolved	3S	"{""stable"": 2, ""structural"": 6, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2, ""strong"": 5}"	"{""unresolved"": 10}"	"{""--"": 1, ""1P"": 2, ""2P"": 1, ""3P"": 2, ""3S"": 4}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0099	SR0305	SMR0099	1corintios	882	889	15:15	15:18	8	18	6	2.25	0.25	0.5	0.25	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	3S	"{""stable"": 2, ""structural"": 2, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 8}"	"{""2P"": 2, ""3S"": 6}"	structural=medium|turbulence=high|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0100	SR0307	SMR0100	1corintios	890	905	15:19	15:28	16	16	4	1.0	0.0625	0.375	0.5625	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 9, ""structural"": 1, ""turbulence"": 6}"	"{""candidate"": 6, ""none"": 9, ""strong"": 1}"	"{""unresolved"": 16}"	"{""--"": 2, ""1P"": 5, ""3S"": 9}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0101	SR0308	SMR0101	1corintios	906	909	15:29	15:30	4	6	2	1.5	0.5	0.25	0.25	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1}"	"{""unresolved"": 4}"	"{""1P"": 1, ""3P"": 3}"	structural=high|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0102	SR0310	SMR0102	1corintios	910	913	15:31	15:32	4	4	2	1.0	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	"{""unresolved"": 4}"	"{""1S"": 4}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0103	SR0311	SMR0103	1corintios	914	918	15:32	15:33	5	8	4	1.6	0.6	0.0	0.4	0.0	0.0	1.0	0.0	structural	none	unresolved	1P	"{""stable"": 2, ""structural"": 3}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 5}"	"{""1P"": 3, ""2P"": 1, ""3P"": 1}"	structural=high|turbulence=none|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0104	SR0314	SMR0104	1corintios	919	932	15:34	15:38	14	30	4	2.1429	0.6429	0.0714	0.2857	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 4, ""structural"": 9, ""turbulence"": 1}"	"{""candidate"": 7, ""none"": 4, ""strong"": 3}"	"{""unresolved"": 14}"	"{""1S"": 1, ""2P"": 3, ""2S"": 4, ""3P"": 2, ""3S"": 4}"	structural=high|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0105	SR0323	SMR0105	1corintios	933	957	15:38	15:52	25	38	6	1.52	0.32	0.16	0.52	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 13, ""structural"": 8, ""turbulence"": 4}"	"{""candidate"": 8, ""none"": 13, ""strong"": 4}"	"{""unresolved"": 25}"	"{""--"": 1, ""1P"": 6, ""1S"": 3, ""3S"": 15}"	structural=medium|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0106	SR0331	SMR0106	1corintios	958	975	15:53	16:4	18	64	6	3.5556	0.6667	0.1111	0.2222	0.0	0.0	1.0	0.0	structural	strong	unresolved	2P	"{""stable"": 4, ""structural"": 12, ""turbulence"": 2}"	"{""candidate"": 6, ""none"": 4, ""strong"": 8}"	"{""unresolved"": 18}"	"{""--"": 1, ""1S"": 4, ""2P"": 7, ""3P"": 1, ""3S"": 5}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0107	SR0343	SMR0107	1corintios	976	981	16:5	16:6	6	14	6	2.3333	0.3333	0.3333	0.3333	0.0	0.0	1.0	0.0	structural	candidate	unresolved	1S	"{""stable"": 2, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 6}"	"{""1S"": 5, ""2P"": 1}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0108	SR0345	SMR0108	1corintios	982	989	16:6	16:10	8	20	6	2.5	0.375	0.5	0.125	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1S	"{""stable"": 1, ""structural"": 3, ""turbulence"": 4}"	"{""candidate"": 6, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 8}"	"{""1S"": 5, ""2P"": 1, ""3S"": 2}"	structural=medium|turbulence=high|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0109	SR0348	SMR0109	1corintios	990	996	16:10	16:12	7	22	6	3.1429	0.5714	0.1429	0.2857	0.0	0.0	1.0	0.0	structural	strong	unresolved	3S	"{""stable"": 2, ""structural"": 4, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2, ""strong"": 3}"	"{""unresolved"": 7}"	"{""1S"": 2, ""2P"": 1, ""3S"": 4}"	structural=high|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0110	SR0352	SMR0110	1corintios	997	1014	16:12	16:20	18	58	6	3.2222	0.7222	0.2778	0.0	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""structural"": 13, ""turbulence"": 5}"	"{""candidate"": 11, ""strong"": 7}"	"{""unresolved"": 18}"	"{""1S"": 2, ""2P"": 4, ""3P"": 4, ""3S"": 8}"	structural=high|turbulence=medium|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0111	SR0365	SMR0111	1corintios	1015	1018	16:20	16:22	4	8	2	2.0	0.5	0.5	0.0	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4}"	"{""unresolved"": 4}"	"{""--"": 1, ""2P"": 1, ""2S"": 1, ""3S"": 1}"	structural=high|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
