structural_signature_id	source_regime_id	merged_regime_id	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	max_structural_weight	weight_per_record	structural_density	turbulence_density	stable_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	continuity_initial_density	dominant_movement_class	dominant_movement_status	dominant_continuity_status	dominant_subject_profile	movement_class_counts	movement_status_counts	continuity_counts	subject_profile_counts	signature_code
SMR0020	SR0072	SMR0020	1corintios	185	202	4:17	5:6	18	68	6	3.7778	0.7778	0.0556	0.1667	0.0	0.0	1.0	0.0	structural	strong	unresolved	1S	"{""stable"": 3, ""structural"": 14, ""turbulence"": 1}"	"{""candidate"": 7, ""none"": 3, ""strong"": 8}"	"{""unresolved"": 18}"	"{""1S"": 8, ""2P"": 4, ""3P"": 2, ""3S"": 4}"	structural=very_high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0021	SR0086	SMR0021	1corintios	203	210	5:7	5:11	8	30	6	3.75	0.625	0.25	0.125	0.0	0.0	1.0	0.0	structural	strong	unresolved	2P	"{""stable"": 1, ""structural"": 5, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 5}"	"{""unresolved"": 8}"	"{""1P"": 1, ""1S"": 2, ""2P"": 5}"	structural=high|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
SMR0022	SR0091	SMR0022	1corintios	211	215	5:11	6:1	5	12	6	2.4	0.4	0.2	0.4	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 2, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 5}"	"{""2P"": 4, ""3S"": 1}"	structural=medium|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0023	SR0093	SMR0023	1corintios	216	224	6:2	6:5	9	24	6	2.6667	0.5556	0.2222	0.2222	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 2, ""structural"": 5, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 2, ""strong"": 2}"	"{""unresolved"": 9}"	"{""--"": 1, ""1P"": 1, ""1S"": 1, ""2P"": 5, ""3S"": 1}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0024	SR0098	SMR0024	1corintios	225	228	6:5	6:7	4	2	2	0.5	0.25	0.0	0.75	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	"{""unresolved"": 4}"	"{""3S"": 4}"	structural=medium|turbulence=none|stable=very_high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0025	SR0099	SMR0025	1corintios	229	245	6:7	6:12	17	16	6	0.9412	0.1176	0.1765	0.7059	0.0	0.0	1.0	0.0	stable	none	unresolved	2P	"{""stable"": 12, ""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 12, ""strong"": 1}"	"{""unresolved"": 17}"	"{""--"": 1, ""1S"": 1, ""2P"": 15}"	structural=low|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0026	SR0101	SMR0026	1corintios	246	248	6:13	6:14	3	2	2	0.6667	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	"{""unresolved"": 3}"	"{""3S"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0027	SR0102	SMR0027	1corintios	249	252	6:15	6:15	4	10	4	2.5	0.5	0.5	0.0	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4}"	"{""unresolved"": 4}"	"{""--"": 1, ""1S"": 1, ""2P"": 1, ""3S"": 1}"	structural=high|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0028	SR0104	SMR0028	1corintios	253	257	6:16	6:17	5	10	4	2.0	0.4	0.4	0.2	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 1}"	"{""unresolved"": 5}"	"{""--"": 1, ""2P"": 1, ""3P"": 1, ""3S"": 2}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0029	SR0106	SMR0029	1corintios	258	261	6:18	6:18	4	12	4	3.0	0.5	0.5	0.0	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4}"	"{""unresolved"": 4}"	"{""--"": 1, ""2P"": 2, ""3S"": 1}"	structural=high|turbulence=high|stable=none|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=very_high
