BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	11	01	πλὴν	01,02	sin embargo	expanded
1corintios	11	11	02	οὔτε	03	en	direct
1corintios	11	11	03	γυνὴ	04,05	el señor	expanded
1corintios	11	11	04	χωρὶς	06,07	ni la	expanded
1corintios	11	11	05	ἀνδρὸς	08,09	mujer es	expanded
1corintios	11	11	06	οὔτε	10	independiente	direct
1corintios	11	11	07	ἀνὴρ	11,12	del hombre	expanded
1corintios	11	11	08	χωρὶς	13	ni	direct
1corintios	11	11	09	γυναικὸς	14,15	el hombre	expanded
1corintios	11	11	10	ἐν	16,17	independiente de	expanded
1corintios	11	11	11	κυρίῳ	18,19	la mujer	expanded
