BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	9	17	01	εἰ	01	porque	direct
1corintios	9	17	02	γὰρ	02	si	direct
1corintios	9	17	03	ἑκὼν	03,04,05	hago esto voluntariamente	expanded
1corintios	9	17	04	τοῦτο	03,04,05	hago esto voluntariamente	shared
1corintios	9	17	05	πράσσω	03,04,05	hago esto voluntariamente	shared
1corintios	9	17	06	μισθὸν	06,07	tengo recompensa	expanded
1corintios	9	17	07	ἔχω	06,07	tengo recompensa	shared
1corintios	9	17	08	εἰ	08,09,10,11,12,13,14,15,16	pero si lo hago en contra de mi voluntad	expanded
1corintios	9	17	09	δὲ	08,09,10,11,12,13,14,15,16	pero si lo hago en contra de mi voluntad	shared
1corintios	9	17	10	ἄκων	08,09,10,11,12,13,14,15,16	pero si lo hago en contra de mi voluntad	shared
1corintios	9	17	11	οἰκονομίαν	17,18,19,20,21,22	un encargo se me ha confiado	expanded
1corintios	9	17	12	πεπίστευμαι	17,18,19,20,21,22	un encargo se me ha confiado	shared
