BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	2	15	01	ὁ	01	en	direct
1corintios	2	15	02	δὲ	02,03	cambio el	expanded
1corintios	2	15	03	πνευματικὸς	04	que	direct
1corintios	2	15	04	ἀνακρίνει	05	es	direct
1corintios	2	15	05	τὰ	06	espiritual	direct
1corintios	2	15	06	πάντα	07	juzga	direct
1corintios	2	15	07	αὐτὸς	08	todas	direct
1corintios	2	15	08	δὲ	09,10	las cosas	expanded
1corintios	2	15	09	ὑπʼ	11	pero	direct
1corintios	2	15	10	οὐδενὸς	12	él	direct
1corintios	2	15	11	ἀνακρίνεται	13	no	direct
