BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	7	39	01	γυνὴ	01-02	la mujer	expanded
1corintios	7	39	02	δέδεται	03-04	está ligada	expanded
1corintios	7	39	03	ἐφʼ	-	-	missing
1corintios	7	39	04	ὅσον	05	mientras	direct
1corintios	7	39	05	χρόνον	-	-	missing
1corintios	7	39	06	ζῇ	08	vive	direct
1corintios	7	39	07	ὁ	06	el	direct
1corintios	7	39	08	ἀνὴρ	07	marido	direct
1corintios	7	39	09	αὐτῆς	-	-	missing
1corintios	7	39	10	ἐὰν	10	si	direct
1corintios	7	39	11	δὲ	09	pero	direct
1corintios	7	39	12	κοιμηθῇ	13	muere	direct
1corintios	7	39	13	ὁ	11-12	el marido	expanded
1corintios	7	39	14	ἀνήρ	11-12	el marido	shared
1corintios	7	39	15	ἐλευθέρα	14-16	está en libertad	expanded
1corintios	7	39	16	ἐστὶν	14-16	está en libertad	shared
1corintios	7	39	17	ᾧ	20	quien	direct
1corintios	7	39	18	θέλει	21	desee	direct
1corintios	7	39	19	γαμηθῆναι	17-19	de casarse con	expanded
1corintios	7	39	20	μόνον	22	solo	direct
1corintios	7	39	21	ἐν	23-24	que sea	expanded
1corintios	7	39	22	κυρίῳ	25-27	en el señor	expanded
