BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	2	11	01	τίς	01	porque	direct
1corintios	2	11	02	γὰρ	02	entre	direct
1corintios	2	11	03	οἶδεν	03	los	direct
1corintios	2	11	04	ἀνθρώπων	04	hombres	direct
1corintios	2	11	05	τὰ	07	los	direct
1corintios	2	11	06	τοῦ	09	de	direct
1corintios	2	11	07	ἀνθρώπου	10	un	direct
1corintios	2	11	08	εἰ	11	hombre	direct
1corintios	2	11	09	μὴ	12	sino	direct
1corintios	2	11	10	τὸ	13	el	direct
1corintios	2	11	11	πνεῦμα	14	espíritu	direct
1corintios	2	11	12	τοῦ	15	del	direct
1corintios	2	11	13	ἀνθρώπου	16	hombre	direct
1corintios	2	11	14	τὸ	17	que	direct
1corintios	2	11	15	ἐν	18,19,20	está en él	expanded
1corintios	2	11	16	αὐτῷ	21	asimismo	direct
1corintios	2	11	17	οὕτως	22	nadie	direct
1corintios	2	11	18	καὶ	23,24	conoce los	expanded
1corintios	2	11	19	τὰ	25	pensamientos	direct
1corintios	2	11	20	τοῦ	26	de	direct
1corintios	2	11	21	θεοῦ	31,32	de dios	expanded
1corintios	2	11	22	οὐδεὶς	-	-	missing
1corintios	2	11	23	ἔγνωκεν	-	-	missing
1corintios	2	11	24	εἰ	-	-	missing
1corintios	2	11	25	μὴ	-	-	missing
1corintios	2	11	26	τὸ	-	-	missing
1corintios	2	11	27	πνεῦμα	-	-	missing
1corintios	2	11	28	τοῦ	-	-	missing
1corintios	2	11	29	θεοῦ	-	-	missing
