BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	16	1	01	περὶ	03,04,05	en cuanto a	expanded
1corintios	16	1	02	δὲ	06,07	la ofrenda	expanded
1corintios	16	1	03	τῆς	08	para	direct
1corintios	16	1	04	λογείας	09	los	direct
1corintios	16	1	05	τῆς	10	santos	direct
1corintios	16	1	06	εἰς	11	hagan	direct
1corintios	16	1	07	τοὺς	12	ustedes	direct
1corintios	16	1	08	ἁγίους	13	también	direct
1corintios	16	1	09	ὥσπερ	14	como	direct
1corintios	16	1	10	διέταξα	15	instruí	direct
1corintios	16	1	11	ταῖς	16	a	direct
1corintios	16	1	12	ἐκκλησίαις	17	las	direct
1corintios	16	1	13	τῆς	18	iglesias	direct
1corintios	16	1	14	γαλατίας	19	de	direct
1corintios	16	1	15	οὕτως	20	galacia	direct
1corintios	16	1	16	καὶ	-	-	missing
1corintios	16	1	17	ὑμεῖς	-	-	missing
1corintios	16	1	18	ποιήσατε	-	-	missing
