BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	12	16	01	καὶ	01,02	y si	expanded
1corintios	12	16	02	ἐὰν	03	el	direct
1corintios	12	16	03	εἴπῃ	04	oído	direct
1corintios	12	16	04	τὸ	05	dijera	direct
1corintios	12	16	05	οὖς	06	porque	direct
1corintios	12	16	06	ὅτι	07	no	direct
1corintios	12	16	07	οὐκ	10	no	direct
1corintios	12	16	08	εἰμὶ	11	soy	direct
1corintios	12	16	09	ὀφθαλμός	12	parte	direct
1corintios	12	16	10	οὐκ	15	no	direct
1corintios	12	16	11	εἰμὶ	16	por	direct
1corintios	12	16	12	ἐκ	17	eso	direct
1corintios	12	16	13	τοῦ	19	de	direct
1corintios	12	16	14	σώματος	23	cuerpo	direct
1corintios	12	16	15	οὐ	-	-	missing
1corintios	12	16	16	παρὰ	-	-	missing
1corintios	12	16	17	τοῦτο	-	-	missing
1corintios	12	16	18	οὐκ	-	-	missing
1corintios	12	16	19	ἔστιν	-	-	missing
1corintios	12	16	20	ἐκ	-	-	missing
1corintios	12	16	21	τοῦ	-	-	missing
1corintios	12	16	22	σώματος	-	-	missing
