BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	13	3	01	καὶ	01,02	y si	expanded
1corintios	13	3	02	ἐὰν	03	diera	direct
1corintios	13	3	03	ψωμίσω	04	todos	direct
1corintios	13	3	04	πάντα	05	mis	direct
1corintios	13	3	05	τὰ	06	bienes	direct
1corintios	13	3	06	ὑπάρχοντά	07	para	direct
1corintios	13	3	07	μου	08	dar	direct
1corintios	13	3	08	⸄καὶ	09	de	direct
1corintios	13	3	09	ἐὰν⸅	10	comer	direct
1corintios	13	3	10	παραδῶ	11	a	direct
1corintios	13	3	11	τὸ	12	los	direct
1corintios	13	3	12	σῶμά	13	pobres	direct
1corintios	13	3	13	μου	14	y	direct
1corintios	13	3	14	ἵνα	15,16,17,18	si entregara mi cuerpo	expanded
1corintios	13	3	15	καυθήσομαι	19	para	direct
1corintios	13	3	16	ἀγάπην	20	ser	direct
1corintios	13	3	17	δὲ	21,22	quemado pero	expanded
1corintios	13	3	18	μὴ	23	no	direct
1corintios	13	3	19	ἔχω	24,25	tengo amor	expanded
1corintios	13	3	20	οὐδὲν	26,27	de nada	expanded
1corintios	13	3	21	ὠφελοῦμαι	28,29	me aprovecha	expanded
