BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	4	10	01	ἡμεῖς	01	nosotros	direct
1corintios	4	10	02	μωροὶ	02	somos	direct
1corintios	4	10	03	διὰ	03,04,05	necios por amor	expanded
1corintios	4	10	04	χριστόν	06	de	direct
1corintios	4	10	05	ὑμεῖς	09	ustedes	direct
1corintios	4	10	06	δὲ	10,11	prudentes en	expanded
1corintios	4	10	07	φρόνιμοι	12	cristo	direct
1corintios	4	10	08	ἐν	13,14,15	nosotros somos débiles	expanded
1corintios	4	10	09	χριστῷ	16	pero	direct
1corintios	4	10	10	ἡμεῖς	23	nosotros	direct
1corintios	4	10	11	ἀσθενεῖς	24	sin	direct
1corintios	4	10	12	ὑμεῖς	25	honra	direct
1corintios	4	10	13	δὲ	-	-	missing
1corintios	4	10	14	ἰσχυροί	-	-	missing
1corintios	4	10	15	ὑμεῖς	-	-	missing
1corintios	4	10	16	ἔνδοξοι	-	-	missing
1corintios	4	10	17	ἡμεῖς	-	-	missing
1corintios	4	10	18	δὲ	-	-	missing
1corintios	4	10	19	ἄτιμοι	-	-	missing
