BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	5	6	01	οὐ	05	no	direct
1corintios	5	6	02	καλὸν	06,07,08	es buena no	expanded
1corintios	5	6	03	τὸ	09	saben	direct
1corintios	5	6	04	καύχημα	10	que	direct
1corintios	5	6	05	ὑμῶν	-	-	missing
1corintios	5	6	06	οὐκ	11	un	direct
1corintios	5	6	07	οἴδατε	12	poco	direct
1corintios	5	6	08	ὅτι	13	de	direct
1corintios	5	6	09	μικρὰ	14	levadura	direct
1corintios	5	6	10	ζύμη	15	fermenta	direct
1corintios	5	6	11	ὅλον	16	toda	direct
1corintios	5	6	12	τὸ	17	la	direct
1corintios	5	6	13	φύραμα	18	masa	direct
1corintios	5	6	14	ζυμοῖ	-	-	missing
