calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00016	1corintios	16	4:15	4:19	181	192	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""stable"": 2, ""unstable"": 10}"	"{""ACLARA"": 10, ""CONDICIÓN"": 2, ""EXPONE"": 2}"	0.7143	6	60	6	40	54	transition_cluster	False	"[""CMW00015"", ""CMW00016"", ""CMW00017""]"
CMW00017	1corintios	17	4:21	5:7	193	204	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""stable"": 2, ""transitioning"": 2, ""unstable"": 8}"	"{""ACLARA"": 10, ""EXPONE"": 2, ""PROPÓSITO"": 2, ""RAZÓN"": 1}"	0.6667	10	56	6	36	46	transition_cluster	False	"[""CMW00016"", ""CMW00017"", ""CMW00018""]"
CMW00018	1corintios	18	5:7	6:2	205	216	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""recovering"": 1, ""stable"": 1, ""unstable"": 10}"	"{""ACLARA"": 11, ""CONDICIÓN"": 1, ""EXPONE"": 1, ""PROPÓSITO"": 1, ""RESULTADO"": 1}"	0.7333	3	63	3	41	60	transition_cluster	False	"[""CMW00017"", ""CMW00018"", ""CMW00019""]"
CMW00019	1corintios	19	6:2	6:7	217	228	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 2, ""unstable"": 4}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 5, ""RAZÓN"": 2}"	0.4375	19	34	14	21	15	mixed_continuity	False	"[""CMW00018"", ""CMW00019"", ""CMW00020""]"
CMW00020	1corintios	20	6:7	6:11	229	240	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""stable"": 7, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 6, ""EXPONE"": 7, ""RAZÓN"": 2}"	0.4667	27	24	17	14	-3	mixed_continuity	False	"[""CMW00019"", ""CMW00020"", ""CMW00021""]"
CMW00021	1corintios	21	6:11	6:15	241	252	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""stable"": 5, ""transitioning"": 3, ""unstable"": 4}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""RAZÓN"": 1}"	0.5385	21	36	13	22	15	mixed_continuity	False	"[""CMW00020"", ""CMW00021"", ""CMW00022""]"
CMW00022	1corintios	22	6:16	6:19	253	264	12	movement_accumulation	mixed_continuity	default_mixed	True	transitioning	ACLARA	"{""recovering"": 2, ""stable"": 3, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 3, ""RAZÓN"": 2}"	0.6	17	38	11	22	21	mixed_continuity	False	"[""CMW00021"", ""CMW00022"", ""CMW00023""]"
CMW00023	1corintios	23	6:19	7:5	265	276	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 2, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""PROPÓSITO"": 1}"	0.7143	34	8	23	4	-26	mixed_continuity	True	"[""CMW00022"", ""CMW00023"", ""CMW00024""]"
CMW00024	1corintios	24	7:5	7:11	277	288	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 1, ""stable"": 4, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 4, ""PROPÓSITO"": 1}"	0.5	20	36	15	21	16	extended_stable_field	True	"[""CMW00023"", ""CMW00024"", ""CMW00025""]"
CMW00025	1corintios	25	7:11	7:14	289	300	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 2, ""CONDICIÓN"": 2, ""EXPONE"": 10}"	0.7143	34	8	24	4	-26	extended_stable_field	False	"[""CMW00024"", ""CMW00025"", ""CMW00026""]"
CMW00026	1corintios	26	7:15	7:17	301	312	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 9, ""transitioning"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 9}"	0.5	33	12	25	6	-21	extended_stable_field	False	"[""CMW00025"", ""CMW00026"", ""CMW00027""]"
CMW00027	1corintios	27	7:18	7:21	313	324	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 8, ""transitioning"": 2, ""unstable"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 8}"	0.6154	28	20	19	12	-8	mixed_continuity	False	"[""CMW00026"", ""CMW00027"", ""CMW00028""]"
CMW00028	1corintios	28	7:22	7:27	325	336	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 7, ""transitioning"": 5}"	"{""ACLARA"": 5, ""EXPONE"": 7}"	0.5833	31	20	19	10	-11	mixed_continuity	False	"[""CMW00027"", ""CMW00028"", ""CMW00029""]"
CMW00029	1corintios	29	7:27	7:32	337	348	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 3, ""stable"": 5, ""transitioning"": 1, ""unstable"": 3}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 5, ""PROPÓSITO"": 1}"	0.4667	17	28	13	17	11	mixed_continuity	False	"[""CMW00028"", ""CMW00029"", ""CMW00030""]"
CMW00030	1corintios	30	7:32	7:36	349	360	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 9, ""transitioning"": 3}"	"{""ACLARA"": 3, ""EXPONE"": 9, ""PROPÓSITO"": 2}"	0.6429	33	12	21	6	-21	extended_stable_field	False	"[""CMW00029"", ""CMW00030"", ""CMW00031""]"
CMW00031	1corintios	31	7:36	7:38	361	372	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 10}"	"{""ACLARA"": 2, ""CONDICIÓN"": 2, ""EXPONE"": 10, ""RESULTADO"": 1}"	0.6667	30	5	22	2	-25	extended_stable_field	False	"[""CMW00030"", ""CMW00031"", ""CMW00032""]"
CMW00032	1corintios	32	7:39	8:1	373	384	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 9, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 3, ""CONDICIÓN"": 2, ""EXPONE"": 9, ""RAZÓN"": 1}"	0.6	29	12	21	7	-17	extended_stable_field	False	"[""CMW00031"", ""CMW00032"", ""CMW00033""]"
CMW00033	1corintios	33	8:2	8:8	385	396	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8}"	0.5333	30	14	21	7	-16	mixed_continuity	False	"[""CMW00032"", ""CMW00033"", ""CMW00034""]"
CMW00034	1corintios	34	8:8	8:13	397	408	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 7}"	0.4375	29	22	22	12	-7	mixed_continuity	False	"[""CMW00033"", ""CMW00034"", ""CMW00035""]"
