calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00067	1corintios	67	14:23	14:25	793	804	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 3, ""stable"": 7, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 7, ""RAZÓN"": 1}"	0.4667	23	16	17	9	-7	mixed_continuity	False	"[""CMW00066"", ""CMW00067"", ""CMW00068""]"
CMW00068	1corintios	68	14:26	14:28	805	816	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 3, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""RAZÓN"": 1}"	0.6667	34	8	23	4	-26	mixed_continuity	True	"[""CMW00067"", ""CMW00068"", ""CMW00069""]"
CMW00069	1corintios	69	14:28	14:34	817	828	12	recovery_field	recovery_field	recovery_ratio_threshold	False	stable	ACLARA	"{""recovering"": 5, ""stable"": 5, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5, ""PROPÓSITO"": 1}"	0.5	17	20	12	11	3	extended_stable_field	True	"[""CMW00068"", ""CMW00069"", ""CMW00070""]"
CMW00070	1corintios	70	14:34	14:38	829	840	12	recovery_field	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 4, ""stable"": 6, ""transitioning"": 2}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 6, ""RAZÓN"": 1}"	0.4375	22	16	16	8	-6	mixed_continuity	False	"[""CMW00069"", ""CMW00070"", ""CMW00071""]"
CMW00071	1corintios	71	14:38	15:2	841	852	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""stable"": 6, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 6, ""CONDICIÓN"": 2, ""EXPONE"": 6, ""RESULTADO"": 1}"	0.4	24	31	17	18	7	mixed_continuity	False	"[""CMW00070"", ""CMW00071"", ""CMW00072""]"
CMW00072	1corintios	72	15:3	15:9	853	864	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 3}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""RAZÓN"": 4}"	0.4286	27	16	18	8	-11	mixed_continuity	False	"[""CMW00071"", ""CMW00072"", ""CMW00073""]"
CMW00073	1corintios	73	15:9	15:12	865	876	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 3, ""stable"": 5, ""unstable"": 4}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5, ""RAZÓN"": 1}"	0.5	15	30	11	19	15	mixed_continuity	False	"[""CMW00072"", ""CMW00073"", ""CMW00074""]"
CMW00074	1corintios	74	15:13	15:17	877	888	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 7, ""CONDICIÓN"": 4, ""EXPONE"": 7, ""RAZÓN"": 3}"	0.3333	25	18	20	10	-7	mixed_continuity	False	"[""CMW00073"", ""CMW00074"", ""CMW00075""]"
CMW00075	1corintios	75	15:18	15:27	889	900	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 7, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7}"	0.5385	21	22	15	14	1	mixed_continuity	False	"[""CMW00074"", ""CMW00075"", ""CMW00076""]"
CMW00076	1corintios	76	15:27	15:32	901	912	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 9, ""PROPÓSITO"": 1, ""RAZÓN"": 1}"	0.5625	29	8	20	4	-21	mixed_continuity	True	"[""CMW00075"", ""CMW00076"", ""CMW00077""]"
CMW00077	1corintios	77	15:32	15:35	913	924	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""recovering"": 1, ""stable"": 3, ""transitioning"": 2, ""unstable"": 6}"	"{""ACLARA"": 9, ""CONDICIÓN"": 2, ""EXPONE"": 3}"	0.6429	13	46	10	29	33	extended_stable_field	True	"[""CMW00076"", ""CMW00077"", ""CMW00078""]"
CMW00078	1corintios	78	15:35	15:42	925	936	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8}"	0.5333	30	18	21	10	-12	transition_cluster	True	"[""CMW00077"", ""CMW00078"", ""CMW00079""]"
CMW00079	1corintios	79	15:43	15:49	937	948	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 11, ""unstable"": 1}"	"{""ACLARA"": 2, ""CONDICIÓN"": 1, ""EXPONE"": 11}"	0.7857	33	6	23	4	-27	mixed_continuity	True	"[""CMW00078"", ""CMW00079"", ""CMW00080""]"
CMW00080	1corintios	80	15:50	15:54	949	960	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 3, ""stable"": 4, ""transitioning"": 2, ""unstable"": 3}"	"{""ACLARA"": 9, ""EXPONE"": 4, ""RAZÓN"": 1}"	0.6429	16	32	10	19	16	extended_stable_field	True	"[""CMW00079"", ""CMW00080"", ""CMW00081""]"
CMW00081	1corintios	81	15:54	16:3	961	972	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""stable"": 3, ""unstable"": 9}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 3, ""PROPÓSITO"": 1, ""RAZÓN"": 1, ""RESULTADO"": 1}"	0.5625	9	55	7	36	46	mixed_continuity	True	"[""CMW00080"", ""CMW00081"", ""CMW00082""]"
CMW00082	1corintios	82	16:3	16:7	973	984	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 6, ""CONDICIÓN"": 3, ""EXPONE"": 6, ""PROPÓSITO"": 1}"	0.375	24	26	18	15	2	mixed_continuity	False	"[""CMW00081"", ""CMW00082"", ""CMW00083""]"
CMW00083	1corintios	83	16:7	16:12	985	996	12	transition_cluster	mixed_continuity	default_mixed	True	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 3, ""unstable"": 5}"	"{""ACLARA"": 8, ""CONDICIÓN"": 2, ""EXPONE"": 4, ""PROPÓSITO"": 2}"	0.5	18	42	13	26	24	mixed_continuity	False	"[""CMW00082"", ""CMW00083"", ""CMW00084""]"
CMW00084	1corintios	84	16:12	16:17	997	1008	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 1, ""unstable"": 5}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	0.4375	17	36	11	23	19	mixed_continuity	False	"[""CMW00083"", ""CMW00084"", ""CMW00085""]"
CMW00085	1corintios	85	16:17	16:22	1009	1018	10	transition_cluster	mixed_continuity	default_mixed	True	unstable	ACLARA	"{""recovering"": 2, ""stable"": 2, ""transitioning"": 2, ""unstable"": 4}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 2, ""RAZÓN"": 1}"	0.6923	6	36	5	22	30	mixed_continuity	False	"[""CMW00084"", ""CMW00085""]"
