BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	19	01	δεῖ	01	porque	direct
1corintios	11	19	02	γὰρ	02	es	direct
1corintios	11	19	03	καὶ	03,04	necesario que	expanded
1corintios	11	19	04	αἱρέσεις	05	entre	direct
1corintios	11	19	05	ἐν	06,07,08	ustedes haya bandos	expanded
1corintios	11	19	06	ὑμῖν	09	a	direct
1corintios	11	19	07	εἶναι	10,11	fin de	expanded
1corintios	11	19	08	ἵνα	12,13,14,15	que se manifiesten entre	expanded
1corintios	11	19	09	καὶ	16,17	ustedes los	expanded
1corintios	11	19	10	οἱ	18	que	direct
1corintios	11	19	11	δόκιμοι	19	son	direct
1corintios	11	19	12	φανεροὶ	20	aprobados	direct
1corintios	11	19	13	γένωνται	-	-	missing
1corintios	11	19	14	ἐν	-	-	missing
1corintios	11	19	15	ὑμῖν	-	-	missing
