BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	8	12	01	οὕτως	01	y	direct
1corintios	8	12	02	δὲ	02,03	así al	expanded
1corintios	8	12	03	ἁμαρτάνοντες	04	pecar	direct
1corintios	8	12	04	εἰς	05	contra	direct
1corintios	8	12	05	τοὺς	06	los	direct
1corintios	8	12	06	ἀδελφοὺς	07	hermanos	direct
1corintios	8	12	07	καὶ	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	expanded
1corintios	8	12	08	τύπτοντες	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	09	αὐτῶν	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	10	τὴν	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	11	συνείδησιν	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	12	ἀσθενοῦσαν	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	13	εἰς	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	14	χριστὸν	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
1corintios	8	12	15	ἁμαρτάνετε	08,09,10,11,12,13,14,15,16,17,18	y herir su conciencia cuando esta es débil pecan contra cristo	shared
