BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	11	01	πλὴν	03,04,05,06	en el señor ni	expanded
1corintios	11	11	02	οὔτε	03,04,05,06	en el señor ni	shared
1corintios	11	11	03	γυνὴ	07,08	la mujer	expanded
1corintios	11	11	04	χωρὶς	09	es	direct
1corintios	11	11	05	ἀνδρὸς	10	independiente	direct
1corintios	11	11	06	οὔτε	11	del	direct
1corintios	11	11	07	ἀνὴρ	12	hombre	direct
1corintios	11	11	08	χωρὶς	13	ni	direct
1corintios	11	11	09	γυναικὸς	14	el	direct
1corintios	11	11	10	ἐν	15,16,17	hombre independiente de	expanded
1corintios	11	11	11	κυρίῳ	18,19	la mujer	expanded
