BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	9	10	01	οὐ	02	no	direct
romanos	9	10	02	μόνον	03	solo	direct
romanos	9	10	03	δέ,	04	esto,	direct
romanos	9	10	04	ἀλλὰ	05,06	sino que	expanded
romanos	9	10	05	καὶ	07,08	también Rebeca	expanded
romanos	9	10	06	Ῥεβέκκα	09	concibió	direct
romanos	9	10	07	ἐξ	10	mellizos	direct
romanos	9	10	08	ἑνὸς	11	de	direct
romanos	9	10	09	κοίτην	12	uno,	direct
romanos	9	10	10	ἔχουσα,	13	nuestro	direct
romanos	9	10	11	Ἰσαὰκ	14	padre	direct
romanos	9	10	12	τοῦ	15	Isaac.	direct
romanos	9	10	13	πατρὸς	-	-	missing
romanos	9	10	14	ἡμῶν·	-	-	missing
