BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	16	9	01	ἀσπάσασθε	01	Saluden	direct
romanos	16	9	02	Οὐρβανὸν	02	a	direct
romanos	16	9	03	τὸν	03	Urbano,	direct
romanos	16	9	04	συνεργὸν	04	nuestro	direct
romanos	16	9	05	ἡμῶν	05	colaborador	direct
romanos	16	9	06	ἐν	06,07,08	en Cristo, y	expanded
romanos	16	9	07	Χριστῷ	09	a	direct
romanos	16	9	08	καὶ	10,11	mi querido	expanded
romanos	16	9	09	Στάχυν	12	hermano	direct
romanos	16	9	10	τὸν	13	Estaquis.	direct
romanos	16	9	11	ἀγαπητόν	-	-	missing
romanos	16	9	12	μου.	-	-	missing
