BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	9	12	01	οὐκ	01	se	direct
romanos	9	12	02	ἐξ	02	le	direct
romanos	9	12	03	ἔργων	03	dijo	direct
romanos	9	12	04	ἀλλʼ	04,05	a Rebeca:	expanded
romanos	9	12	05	ἐκ	06	«EL	direct
romanos	9	12	06	τοῦ	07	MAYOR	direct
romanos	9	12	07	καλοῦντος,	08	SERVIRÁ	direct
romanos	9	12	08	ἐρρέθη	09	AL	direct
romanos	9	12	09	αὐτῇ	10	MENOR».	direct
romanos	9	12	10	ὅτι	-	-	missing
romanos	9	12	11	Ὁ	-	-	missing
romanos	9	12	12	μείζων	-	-	missing
romanos	9	12	13	δουλεύσει	-	-	missing
romanos	9	12	14	τῷ	-	-	missing
romanos	9	12	15	ἐλάσσονι·	-	-	missing
