movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00017	1corintios	17	4:21	5:7	193	204	12	transition_cluster	unstable	ACLARA	"{""stable"": 2, ""transitioning"": 2, ""unstable"": 8}"	"{""ACLARA"": 10, ""EXPONE"": 2, ""PROPÓSITO"": 2, ""RAZÓN"": 1}"	10	56	6	36
MW00018	1corintios	18	5:7	6:2	205	216	12	transition_cluster	unstable	ACLARA	"{""recovering"": 1, ""stable"": 1, ""unstable"": 10}"	"{""ACLARA"": 11, ""CONDICIÓN"": 1, ""EXPONE"": 1, ""PROPÓSITO"": 1, ""RESULTADO"": 1}"	3	63	3	41
MW00019	1corintios	19	6:2	6:7	217	228	12	transition_cluster	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 2, ""unstable"": 4}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 5, ""RAZÓN"": 2}"	19	34	14	21
MW00020	1corintios	20	6:7	6:11	229	240	12	mixed_continuity	stable	EXPONE	"{""stable"": 7, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 6, ""EXPONE"": 7, ""RAZÓN"": 2}"	27	24	17	14
MW00021	1corintios	21	6:11	6:15	241	252	12	transition_cluster	stable	ACLARA	"{""stable"": 5, ""transitioning"": 3, ""unstable"": 4}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""RAZÓN"": 1}"	21	36	13	22
MW00022	1corintios	22	6:16	6:19	253	264	12	movement_accumulation	transitioning	ACLARA	"{""recovering"": 2, ""stable"": 3, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 3, ""RAZÓN"": 2}"	17	38	11	22
MW00023	1corintios	23	6:19	7:5	265	276	12	extended_stable_field	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 2, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""PROPÓSITO"": 1}"	34	8	23	4
MW00024	1corintios	24	7:5	7:11	277	288	12	movement_accumulation	stable	ACLARA	"{""recovering"": 1, ""stable"": 4, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 4, ""PROPÓSITO"": 1}"	20	36	15	21
MW00025	1corintios	25	7:11	7:14	289	300	12	extended_stable_field	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 2, ""CONDICIÓN"": 2, ""EXPONE"": 10}"	34	8	24	4
MW00026	1corintios	26	7:15	7:17	301	312	12	extended_stable_field	stable	EXPONE	"{""stable"": 9, ""transitioning"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 9}"	33	12	25	6
