book	certainty_finite_verb	certainty_independence	certainty_predication	chapter	finite_compact	finite_lemma	finite_morphgnt	finite_verb	g_idx	independence_source	independence_status	nbla_idx	nbla_text	predication_id	stream_index	subject_inherited_from	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subject_source	subject_status	subject_token	subordination_markers	subordination_source	subordination_status	verse
1corintios	confirmed	candidate	candidate	1	V-API-3S	σταυρόω	V- 3API-S--	ἐσταυρώθη	06	subordination_marker_scan_only	candidate	05,07	fue crucificado	1corintios-1-13-P02	16	1corintios-1-13-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	05	[]		not_detected	13
1corintios	confirmed	candidate	candidate	1	V-API-2P	βαπτίζω	V- 2API-P--	ἐβαπτίσθητε	14	subordination_marker_scan_only	candidate	11-12	fueron bautizados	1corintios-1-13-P03	17		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	13
1corintios	confirmed	candidate	candidate	1	V-PAI-1S	εὐχαριστέω	V- 1PAI-S--	εὐχαριστῶ	01	subordination_marker_scan_only	candidate	01-04	doy gracias a dios	1corintios-1-14-P01	18		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	14
1corintios	confirmed	unresolved	candidate	1	V-AAI-1S	βαπτίζω	V- 1AAI-S--	ἐβάπτισα	05	subordination_marker_scan_only	unresolved	07	bauticé	1corintios-1-14-P02	19		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""02""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	14
1corintios	confirmed	unresolved	candidate	1	V-AAS-3S	λέγω	V- 3AAS-S--	εἴπῃ	04	subordination_marker_scan_only	unresolved	04	diga	1corintios-1-15-P01	20	1corintios-1-14-P02	S	1	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	03	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	15
1corintios	confirmed	unresolved	candidate	1	V-API-2P	βαπτίζω	V- 2API-P--	ἐβαπτίσθητε	10	subordination_marker_scan_only	unresolved	06-07	fueron bautizados	1corintios-1-15-P02	21		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""05""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	15
1corintios	confirmed	candidate	candidate	1	V-AAI-1S	βαπτίζω	V- 1AAI-S--	ἐβάπτισα	01	subordination_marker_scan_only	candidate	02	bauticé	1corintios-1-16-P01	22		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	16
1corintios	confirmed	candidate	candidate	1	V-XAI-1S	οἶδα	V- 1XAI-S--	οἶδα	09	subordination_marker_scan_only	candidate	14	sé	1corintios-1-16-P02	23		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	16
1corintios	confirmed	unresolved	candidate	1	V-AAI-1S	βαπτίζω	V- 1AAI-S--	ἐβάπτισα	13	subordination_marker_scan_only	unresolved	16	bauticé	1corintios-1-16-P03	24		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""εἴ"", ""key"": ""ει"", ""token"": ""10""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	16
1corintios	confirmed	candidate	candidate	1	V-AAI-3S	ἀποστέλλω	V- 3AAI-S--	ἀπέστειλέν	03	subordination_marker_scan_only	candidate	05	envió	1corintios-1-17-P01	25		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	17
1corintios	confirmed	unresolved	candidate	1	V-APS-3S	κενόω	V- 3APS-S--	κενωθῇ	15	subordination_marker_scan_only	unresolved	20-22	se haga vana	1corintios-1-17-P02	26		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""13""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	17
1corintios	confirmed	candidate	candidate	1	V-PAI-3S	εἰμί	V- 3PAI-S--	ἐστίν	11	subordination_marker_scan_only	candidate	07	es	1corintios-1-18-P01	27	1corintios-1-17-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	10	[]		not_detected	18
1corintios	confirmed	candidate	candidate	1	V-PAI-3S	εἰμί	V- 3PAI-S--	ἐστιν	18	subordination_marker_scan_only	candidate	19	es	1corintios-1-18-P02	28	1corintios-1-18-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	16	[]		not_detected	18
1corintios	confirmed	candidate	candidate	1	V-XPI-3S	γράφω	V- 3XPI-S--	γέγραπται	01	subordination_marker_scan_only	candidate	02-03	está escrito	1corintios-1-19-P01	29		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	19
1corintios	confirmed	candidate	candidate	1	V-FAI-1S	ἀπόλλυμι	V- 1FAI-S--	ἀπολῶ	03	subordination_marker_scan_only	candidate	04	destruiré	1corintios-1-19-P02	30		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	19
1corintios	confirmed	candidate	candidate	1	V-FAI-1S	ἀθετέω	V- 1FAI-S--	ἀθετήσω	13	subordination_marker_scan_only	candidate	16	desecharé	1corintios-1-19-P03	31		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	19
1corintios	confirmed	candidate	candidate	1	V-AAI-3S	μωραίνω	V- 3AAI-S--	ἐμώρανεν	11	subordination_marker_scan_only	candidate	19-20,22,28-29	ha hecho que sea necedad	1corintios-1-20-P01	32	1corintios-1-19-P03	S	1	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	06	[]		not_detected	20
1corintios	confirmed	unresolved	candidate	1	V-AAI-3S	γινώσκω	V- 3AAI-S--	ἔγνω	09	subordination_marker_scan_only	unresolved	12	conoció	1corintios-1-21-P01	33		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ἐπειδὴ"", ""key"": ""επειδη"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	21
1corintios	confirmed	candidate	candidate	1	V-AAI-3S	εὐδοκέω	V- 3AAI-S--	εὐδόκησεν	17	subordination_marker_scan_only	candidate	21	agradó	1corintios-1-21-P02	34	1corintios-1-20-P01	S	1	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	11	[]		not_detected	21
1corintios	confirmed	unresolved	candidate	1	V-PAI-3P	αἰτέω	V- 3PAI-P--	αἰτοῦσιν	05	subordination_marker_scan_only	unresolved	06	piden	1corintios-1-22-P01	35	1corintios-1-21-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	03	"[{""form"": ""ἐπειδὴ"", ""key"": ""επειδη"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	22
1corintios	confirmed	candidate	candidate	1	V-PAI-3P	ζητέω	V- 3PAI-P--	ζητοῦσιν	09	subordination_marker_scan_only	candidate	11	buscan	1corintios-1-22-P02	36	1corintios-1-21-P02	S	1	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	07	[]		not_detected	22
1corintios	confirmed	candidate	candidate	1	V-PAI-1P	κηρύσσω	V- 1PAI-P--	κηρύσσομεν	03	subordination_marker_scan_only	candidate	03	predicamos	1corintios-1-23-P01	37		P	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	23
1corintios	confirmed	unresolved	candidate	1	V-PAI-3S	εἰμί	V- 3PAI-S--	ἐστίν	09	subordination_marker_scan_only	unresolved	06	es	1corintios-1-25-P01	38	1corintios-1-22-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	06	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	25
1corintios	confirmed	candidate	candidate	1	V-PAI-2P	βλέπω	V- 2PAI-P--	βλέπετε	01	subordination_marker_scan_only	candidate	02	consideren	1corintios-1-26-P01	39		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	26
1corintios	confirmed	candidate	candidate	1	V-AMI-3S	ἐκλέγομαι	V- 3AMI-S--	ἐξελέξατο	06	subordination_marker_scan_only	candidate	04-05	ha escogido	1corintios-1-27-P01	40		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	27
