BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	14	6	01	ὁ	01	El	direct
romanos	14	6	02	φρονῶν	02	que	direct
romanos	14	6	03	τὴν	03	guarda	direct
romanos	14	6	04	ἡμέραν	04	cierto	direct
romanos	14	6	05	κυρίῳ	05,06,07	día, para el	expanded
romanos	14	6	06	⸀φρονεῖ.	08	Señor	direct
romanos	14	6	07	καὶ	09,10	lo guarda.	expanded
romanos	14	6	08	ὁ	11	El	direct
romanos	14	6	09	ἐσθίων	12	que	direct
romanos	14	6	10	κυρίῳ	13,14,15	come, para el	expanded
romanos	14	6	11	ἐσθίει,	16	Señor	direct
romanos	14	6	12	εὐχαριστεῖ	17	come,	direct
romanos	14	6	13	γὰρ	18	pues	direct
romanos	14	6	14	τῷ	24	el	direct
romanos	14	6	15	θεῷ·	25	que	direct
romanos	14	6	16	καὶ	26,27	no come,	expanded
romanos	14	6	17	ὁ	28	para	direct
romanos	14	6	18	μὴ	29	el	direct
romanos	14	6	19	ἐσθίων	30	Señor	direct
romanos	14	6	20	κυρίῳ	31,32,33	se abstiene, y	expanded
romanos	14	6	21	οὐκ	34	da	direct
romanos	14	6	22	ἐσθίει,	35	gracias	direct
romanos	14	6	23	καὶ	36,37	a Dios.	expanded
romanos	14	6	24	εὐχαριστεῖ	-	-	missing
romanos	14	6	25	τῷ	-	-	missing
romanos	14	6	26	θεῷ.	-	-	missing
