BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	15	31	01	ἵνα	01,02,03,04	para que sea librado	expanded
romanos	15	31	02	ῥυσθῶ	05	de	direct
romanos	15	31	03	ἀπὸ	06	los	direct
romanos	15	31	04	τῶν	07,08	que son	expanded
romanos	15	31	05	ἀπειθούντων	09	desobedientes	direct
romanos	15	31	06	ἐν	10,11,12	en Judea, y	expanded
romanos	15	31	07	τῇ	13,14	que mi	expanded
romanos	15	31	08	Ἰουδαίᾳ	15	servicio	direct
romanos	15	31	09	⸀καὶ	16	a	direct
romanos	15	31	10	ἡ	17	Jerusalén	direct
romanos	15	31	11	διακονία	18	sea	direct
romanos	15	31	12	μου	19	aceptable	direct
romanos	15	31	13	ἡ	20	a	direct
romanos	15	31	14	εἰς	21	los	direct
romanos	15	31	15	Ἰερουσαλὴμ	22	santos,	direct
romanos	15	31	16	εὐπρόσδεκτος	-	-	missing
romanos	15	31	17	⸂τοῖς	-	-	missing
romanos	15	31	18	ἁγίοις	-	-	missing
romanos	15	31	19	γένηται⸃,	-	-	missing
