BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	11	20	01	καλῶς·	01	Muy	direct
romanos	11	20	02	τῇ	02,03	cierto. Fueron	expanded
romanos	11	20	03	ἀπιστίᾳ	04	desgajadas	direct
romanos	11	20	04	ἐξεκλάσθησαν,	05	por	direct
romanos	11	20	05	σὺ	06	su	direct
romanos	11	20	06	δὲ	07,08	incredulidad, pero	expanded
romanos	11	20	07	τῇ	09,10	tú por	expanded
romanos	11	20	08	πίστει	11	la	direct
romanos	11	20	09	ἕστηκας.	12	fe	direct
romanos	11	20	10	μὴ	13	te	direct
romanos	11	20	11	⸂ὑψηλὰ	14	mantienes	direct
romanos	11	20	12	φρόνει⸃,	15	firme.	direct
romanos	11	20	13	ἀλλὰ	16,17	No seas	expanded
romanos	11	20	14	φοβοῦ·	18	altanero,	direct
