BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	4	01	Εὐχαριστῶ	01	Doy	direct
filemon	1	4	02	τῷ	02	gracias	direct
filemon	1	4	03	θεῷ	03	a	direct
filemon	1	4	04	μου	04	mi	direct
filemon	1	4	05	πάντοτε	05	Dios	direct
filemon	1	4	06	μνείαν	06	siempre,	direct
filemon	1	4	07	σου	07	haciendo	direct
filemon	1	4	08	ποιούμενος	08	mención	direct
filemon	1	4	09	ἐπὶ	09,10,11	de ti en	expanded
filemon	1	4	10	τῶν	12,13	mis oraciones,	expanded
filemon	1	4	11	προσευχῶν	-	-	missing
filemon	1	4	12	μου,	-	-	missing
