BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	20	01	ναί,	01	Sí,	direct
filemon	1	20	02	ἀδελφέ,	02	hermano,	direct
filemon	1	20	03	ἐγώ	03	permíteme	expanded
filemon	1	20	04	σου	07,08	de ti	expanded
filemon	1	20	05	ὀναίμην	04,05,06	disfrutar este beneficio	expanded
filemon	1	20	06	ἐν	09,10	en el	expanded
filemon	1	20	07	κυρίῳ·	11	Señor.	direct
filemon	1	20	08	ἀνάπαυσόν	12	Recrea	direct
filemon	1	20	09	μου	13	mi	direct
filemon	1	20	10	τὰ	13	mi	shared
filemon	1	20	11	σπλάγχνα	14	corazón	direct
filemon	1	20	12	ἐν	15	en	direct
filemon	1	20	13	⸀Χριστῷ.	16	Cristo.	direct
