stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
252	1corintios	6	15	1corintios-6-15-P04	γένοιτο	V-AMO-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
253	1corintios	6	16	1corintios-6-16-P01	οἴδατε	V-XAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
254	1corintios	6	16	1corintios-6-16-P02	ἐστιν	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
255	1corintios	6	16	1corintios-6-16-P03	ἔσονται	V-FMI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
256	1corintios	6	16	1corintios-6-16-P04	φησίν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
257	1corintios	6	17	1corintios-6-17-P01	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-6-16-P04	candidate	not_detected
258	1corintios	6	18	1corintios-6-18-P01	φεύγετε	V-PAD-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
259	1corintios	6	18	1corintios-6-18-P02	ποιήσῃ	V-AAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
260	1corintios	6	18	1corintios-6-18-P03	ἐστιν	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-6-18-P01	candidate	not_detected
261	1corintios	6	18	1corintios-6-18-P04	ἁμαρτάνει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
262	1corintios	6	19	1corintios-6-19-P01	οἴδατε	V-XAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
263	1corintios	6	19	1corintios-6-19-P02	ἐστιν	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
264	1corintios	6	19	1corintios-6-19-P03	ἔχετε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
265	1corintios	6	19	1corintios-6-19-P04	ἐστὲ	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
266	1corintios	6	20	1corintios-6-20-P01	ἠγοράσθητε	V-API-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
267	1corintios	6	20	1corintios-6-20-P02	δοξάσατε	V-AAD-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
268	1corintios	7	1	1corintios-7-1-P01	ἐγράψατε	V-AAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
269	1corintios	7	2	1corintios-7-2-P01	ἐχέτω	V-PAD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-1-P01	candidate	not_detected
270	1corintios	7	2	1corintios-7-2-P02	ἐχέτω	V-PAD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-2-P01	candidate	not_detected
271	1corintios	7	3	1corintios-7-3-P01	ἀποδιδότω	V-PAD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-2-P02	candidate	not_detected
272	1corintios	7	4	1corintios-7-4-P01	ἐξουσιάζει	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-3-P01	candidate	not_detected
273	1corintios	7	4	1corintios-7-4-P02	ἐξουσιάζει	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-4-P01	candidate	not_detected
274	1corintios	7	5	1corintios-7-5-P01	ἀποστερεῖτε	V-PAD-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
275	1corintios	7	5	1corintios-7-5-P02	σχολάσητε	V-AAS-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
276	1corintios	7	5	1corintios-7-5-P03	ἦτε	V-PAS-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
277	1corintios	7	5	1corintios-7-5-P04	πειράζῃ	V-PAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
278	1corintios	7	6	1corintios-7-6-P01	λέγω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
279	1corintios	7	7	1corintios-7-7-P01	θέλω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
280	1corintios	7	7	1corintios-7-7-P02	ἔχει	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-5-P04	unresolved	candidate
281	1corintios	7	8	1corintios-7-8-P01	λέγω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
282	1corintios	7	8	1corintios-7-8-P02	μείνωσιν	V-AAS-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
283	1corintios	7	9	1corintios-7-9-P01	ἐγκρατεύονται	V-PMI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
284	1corintios	7	9	1corintios-7-9-P02	γαμησάτωσαν	V-AAD-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
285	1corintios	7	9	1corintios-7-9-P03	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
286	1corintios	7	10	1corintios-7-10-P01	παραγγέλλω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
287	1corintios	7	11	1corintios-7-11-P01	χωρισθῇ	V-APS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
288	1corintios	7	11	1corintios-7-11-P02	μενέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
289	1corintios	7	11	1corintios-7-11-P03	καταλλαγήτω—	V-APD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
290	1corintios	7	12	1corintios-7-12-P01	λέγω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
291	1corintios	7	12	1corintios-7-12-P02	ἔχει	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
292	1corintios	7	12	1corintios-7-12-P03	συνευδοκεῖ	V-PAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-12-P01	candidate	not_detected
293	1corintios	7	12	1corintios-7-12-P04	ἀφιέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
294	1corintios	7	13	1corintios-7-13-P01	ἔχει	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
295	1corintios	7	13	1corintios-7-13-P02	συνευδοκεῖ	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-12-P04	candidate	not_detected
296	1corintios	7	13	1corintios-7-13-P03	ἀφιέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
297	1corintios	7	14	1corintios-7-14-P01	ἡγίασται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
298	1corintios	7	14	1corintios-7-14-P02	ἡγίασται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
299	1corintios	7	14	1corintios-7-14-P03	ἐστιν	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
300	1corintios	7	14	1corintios-7-14-P04	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-14-P02	candidate	not_detected
301	1corintios	7	15	1corintios-7-15-P01	χωρίζεται	V-PPI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
302	1corintios	7	15	1corintios-7-15-P02	χωριζέσθω	V-PPD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
303	1corintios	7	15	1corintios-7-15-P03	δεδούλωται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
304	1corintios	7	15	1corintios-7-15-P04	κέκληκεν	V-XAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
305	1corintios	7	16	1corintios-7-16-P01	οἶδας	V-XAI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
306	1corintios	7	16	1corintios-7-16-P02	σώσεις	V-FAI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
307	1corintios	7	16	1corintios-7-16-P03	οἶδας	V-XAI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
308	1corintios	7	16	1corintios-7-16-P04	σώσεις	V-FAI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
309	1corintios	7	17	1corintios-7-17-P01	ἐμέρισεν	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
310	1corintios	7	17	1corintios-7-17-P02	κέκληκεν	V-XAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-17-P01	unresolved	candidate
311	1corintios	7	17	1corintios-7-17-P03	περιπατείτω	V-PAD-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		candidate	not_detected
312	1corintios	7	17	1corintios-7-17-P04	διατάσσομαι	V-PMI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
313	1corintios	7	18	1corintios-7-18-P01	ἐκλήθη;	V-API-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-17-P04	candidate	not_detected
314	1corintios	7	18	1corintios-7-18-P02	ἐπισπάσθω	V-PMD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
315	1corintios	7	18	1corintios-7-18-P03	κέκληταί	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
316	1corintios	7	18	1corintios-7-18-P04	περιτεμνέσθω	V-PPD-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-18-P03	candidate	not_detected
317	1corintios	7	19	1corintios-7-19-P01	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-18-P04	candidate	not_detected
318	1corintios	7	19	1corintios-7-19-P02	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-19-P01	candidate	not_detected
319	1corintios	7	20	1corintios-7-20-P01	ἐκλήθη	V-API-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
320	1corintios	7	20	1corintios-7-20-P02	μενέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
321	1corintios	7	21	1corintios-7-21-P01	ἐκλήθης;	V-API-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
322	1corintios	7	21	1corintios-7-21-P02	μελέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
323	1corintios	7	21	1corintios-7-21-P03	δύνασαι	V-PMI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
324	1corintios	7	21	1corintios-7-21-P04	χρῆσαι	V-AMD-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
325	1corintios	7	22	1corintios-7-22-P01	ἐστίν	V-PAI-3S	2	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-21-P04	candidate	not_detected
326	1corintios	7	22	1corintios-7-22-P02	ἐστιν	V-PAI-3S	2	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-22-P01	candidate	not_detected
327	1corintios	7	23	1corintios-7-23-P01	ἠγοράσθητε	V-API-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
328	1corintios	7	23	1corintios-7-23-P02	γίνεσθε	V-PMD-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
329	1corintios	7	24	1corintios-7-24-P01	ἐκλήθη	V-API-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-23-P02	candidate	not_detected
330	1corintios	7	24	1corintios-7-24-P02	μενέτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
331	1corintios	7	25	1corintios-7-25-P01	ἔχω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
332	1corintios	7	25	1corintios-7-25-P02	δίδωμι	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
333	1corintios	7	26	1corintios-7-26-P01	νομίζω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
334	1corintios	7	27	1corintios-7-27-P01	δέδεσαι	V-XPI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
335	1corintios	7	27	1corintios-7-27-P02	ζήτει	V-PAD-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
336	1corintios	7	27	1corintios-7-27-P03	λέλυσαι	V-XPI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
337	1corintios	7	27	1corintios-7-27-P04	ζήτει	V-PAD-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
338	1corintios	7	28	1corintios-7-28-P01	γαμήσῃς	V-AAS-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
339	1corintios	7	28	1corintios-7-28-P02	ἥμαρτες	V-AAI-2S	2	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
340	1corintios	7	28	1corintios-7-28-P03	γήμῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
341	1corintios	7	28	1corintios-7-28-P04	ἥμαρτεν	V-AAI-3S	2	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-28-P02	candidate	not_detected
342	1corintios	7	28	1corintios-7-28-P05	ἕξουσιν	V-FAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
343	1corintios	7	28	1corintios-7-28-P06	φείδομαι	V-PMI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
344	1corintios	7	29	1corintios-7-29-P01	φημι	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
345	1corintios	7	29	1corintios-7-29-P02	ἐστίν	V-PAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-29-P01	candidate	not_detected
346	1corintios	7	29	1corintios-7-29-P03	ὦσιν	V-PAS-3P			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
347	1corintios	7	31	1corintios-7-31-P01	παράγει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
348	1corintios	7	32	1corintios-7-32-P01	θέλω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
349	1corintios	7	32	1corintios-7-32-P02	μεριμνᾷ	V-PAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-32-P01	candidate	not_detected
350	1corintios	7	32	1corintios-7-32-P03	ἀρέσῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
351	1corintios	7	33	1corintios-7-33-P01	μεριμνᾷ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
352	1corintios	7	33	1corintios-7-33-P02	ἀρέσῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
353	1corintios	7	34	1corintios-7-34-P01	μεμέρισται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
354	1corintios	7	34	1corintios-7-34-P02	μεριμνᾷ	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-34-P01	candidate	not_detected
355	1corintios	7	34	1corintios-7-34-P03	ᾖ	V-PAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
356	1corintios	7	34	1corintios-7-34-P04	μεριμνᾷ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
357	1corintios	7	34	1corintios-7-34-P05	ἀρέσῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
358	1corintios	7	35	1corintios-7-35-P01	λέγω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
359	1corintios	7	35	1corintios-7-35-P02	ἐπιβάλω	V-AAS-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
360	1corintios	7	36	1corintios-7-36-P01	νομίζει	V-PAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-35-P02	unresolved	candidate
361	1corintios	7	36	1corintios-7-36-P02	ᾖ	V-PAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
362	1corintios	7	36	1corintios-7-36-P03	ὀφείλει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
363	1corintios	7	36	1corintios-7-36-P04	θέλει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
364	1corintios	7	36	1corintios-7-36-P05	ποιείτω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
365	1corintios	7	36	1corintios-7-36-P06	ἁμαρτάνει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
366	1corintios	7	36	1corintios-7-36-P07	γαμείτωσαν	V-PAD-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
367	1corintios	7	37	1corintios-7-37-P01	ἕστηκεν	V-XAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
368	1corintios	7	37	1corintios-7-37-P02	ἔχει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
369	1corintios	7	37	1corintios-7-37-P03	κέκρικεν	V-XAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
370	1corintios	7	37	1corintios-7-37-P04	ποιήσει	V-FAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
371	1corintios	7	38	1corintios-7-38-P01	ποιεῖ	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
372	1corintios	7	38	1corintios-7-38-P02	ποιήσει	V-FAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-37-P04	candidate	not_detected
373	1corintios	7	39	1corintios-7-39-P01	δέδεται	V-XPI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-38-P02	candidate	not_detected
374	1corintios	7	39	1corintios-7-39-P02	ζῇ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
375	1corintios	7	39	1corintios-7-39-P03	κοιμηθῇ	V-APS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
376	1corintios	7	39	1corintios-7-39-P04	ἐστὶν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-7-39-P02	candidate	not_detected
377	1corintios	7	39	1corintios-7-39-P05	θέλει	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
378	1corintios	7	40	1corintios-7-40-P01	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
379	1corintios	7	40	1corintios-7-40-P02	μείνῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
380	1corintios	7	40	1corintios-7-40-P03	δοκῶ	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
381	1corintios	8	1	1corintios-8-1-P01	οἴδαμεν	V-XAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
382	1corintios	8	1	1corintios-8-1-P02	ἔχομεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
383	1corintios	8	1	1corintios-8-1-P03	φυσιοῖ	V-PAI-3S	1	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-1-P01	candidate	not_detected
384	1corintios	8	1	1corintios-8-1-P04	οἰκοδομεῖ	V-PAI-3S	1	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-1-P03	candidate	not_detected
385	1corintios	8	2	1corintios-8-2-P01	δοκεῖ	V-PAI-3S	1	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-1-P02	unresolved	candidate
386	1corintios	8	2	1corintios-8-2-P02	ἔγνω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
387	1corintios	8	2	1corintios-8-2-P03	δεῖ	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
388	1corintios	8	3	1corintios-8-3-P01	ἀγαπᾷ	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-2-P03	unresolved	candidate
389	1corintios	8	3	1corintios-8-3-P02	ἔγνωσται	V-XPI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-2-P02	candidate	not_detected
390	1corintios	8	4	1corintios-8-4-P01	οἴδαμεν	V-XAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
391	1corintios	8	5	1corintios-8-5-P01	εἰσὶν	V-PAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
392	1corintios	8	5	1corintios-8-5-P02	εἰσὶν	V-PAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
393	1corintios	8	7	1corintios-8-7-P01	ἐσθίουσιν	V-PAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
394	1corintios	8	7	1corintios-8-7-P02	μολύνεται	V-PPI-3S	3	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-5-P02	candidate	not_detected
395	1corintios	8	8	1corintios-8-8-P01	παραστήσει	V-FAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
396	1corintios	8	8	1corintios-8-8-P02	φάγωμεν	V-AAS-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
397	1corintios	8	8	1corintios-8-8-P03	περισσεύομεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
398	1corintios	8	8	1corintios-8-8-P04	φάγωμεν	V-AAS-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
399	1corintios	8	8	1corintios-8-8-P05	ὑστερούμεθα	V-PPI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
400	1corintios	8	9	1corintios-8-9-P01	βλέπετε	V-PAD-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
401	1corintios	8	9	1corintios-8-9-P02	γένηται	V-AMS-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-8-9-P01	candidate	not_detected
402	1corintios	8	10	1corintios-8-10-P01	ἴδῃ	V-AAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
