stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
34	1corintios	1	21	1corintios-1-21-P02	εὐδόκησεν	V-AAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-20-P01	candidate	not_detected
35	1corintios	1	22	1corintios-1-22-P01	αἰτοῦσιν	V-PAI-3P	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-21-P01	unresolved	candidate
36	1corintios	1	22	1corintios-1-22-P02	ζητοῦσιν	V-PAI-3P	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-21-P02	candidate	not_detected
37	1corintios	1	23	1corintios-1-23-P01	κηρύσσομεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
38	1corintios	1	25	1corintios-1-25-P01	ἐστίν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-22-P01	unresolved	candidate
39	1corintios	1	26	1corintios-1-26-P01	βλέπετε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
40	1corintios	1	27	1corintios-1-27-P01	ἐξελέξατο	V-AMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
41	1corintios	1	27	1corintios-1-27-P02	καταισχύνῃ	V-PAS-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-25-P01	unresolved	candidate
42	1corintios	1	27	1corintios-1-27-P03	ἐξελέξατο	V-AMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
43	1corintios	1	27	1corintios-1-27-P04	καταισχύνῃ	V-PAS-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-27-P02	unresolved	candidate
44	1corintios	1	28	1corintios-1-28-P01	ἐξελέξατο	V-AMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
45	1corintios	1	28	1corintios-1-28-P02	καταργήσῃ	V-AAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
46	1corintios	1	29	1corintios-1-29-P01	καυχήσηται	V-AMS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
47	1corintios	1	30	1corintios-1-30-P01	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
48	1corintios	1	30	1corintios-1-30-P02	ἐγενήθη	V-API-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-30-P01	candidate	not_detected
49	1corintios	1	31	1corintios-1-31-P01	γέγραπται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
50	1corintios	1	31	1corintios-1-31-P02	καυχάσθω	V-PMD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-1-30-P02	candidate	not_detected
51	1corintios	2	1	1corintios-2-1-P01	ἦλθον	V-AAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
52	1corintios	2	2	1corintios-2-2-P01	ἔκρινά	V-AAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
53	1corintios	2	3	1corintios-2-3-P01	ἐγενόμην	V-AMI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
54	1corintios	2	5	1corintios-2-5-P01	ᾖ	V-PAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
55	1corintios	2	6	1corintios-2-6-P01	λαλοῦμεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
56	1corintios	2	7	1corintios-2-7-P01	λαλοῦμεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
57	1corintios	2	7	1corintios-2-7-P02	προώρισεν	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
58	1corintios	2	8	1corintios-2-8-P01	ἔγνωκεν	V-XAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-7-P02	candidate	not_detected
59	1corintios	2	8	1corintios-2-8-P02	ἔγνωσαν	V-AAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
60	1corintios	2	8	1corintios-2-8-P03	ἐσταύρωσαν	V-AAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
61	1corintios	2	9	1corintios-2-9-P01	γέγραπται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
62	1corintios	2	9	1corintios-2-9-P02	εἶδεν	V-AAI-3S	3	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-8-P03	candidate	not_detected
63	1corintios	2	9	1corintios-2-9-P03	ἤκουσεν	V-AAI-3S	3	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-9-P02	candidate	not_detected
64	1corintios	2	9	1corintios-2-9-P04	ἀνέβη	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
65	1corintios	2	9	1corintios-2-9-P05	ἡτοίμασεν	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
66	1corintios	2	10	1corintios-2-10-P01	ἀπεκάλυψεν	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
67	1corintios	2	10	1corintios-2-10-P02	ἐραυνᾷ	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-10-P01	candidate	not_detected
68	1corintios	2	11	1corintios-2-11-P01	οἶδεν	V-XAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
69	1corintios	2	11	1corintios-2-11-P02	ἔγνωκεν	V-XAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
70	1corintios	2	12	1corintios-2-12-P01	ἐλάβομεν	V-AAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
71	1corintios	2	12	1corintios-2-12-P02	εἰδῶμεν	V-XAS-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
72	1corintios	2	13	1corintios-2-13-P01	λαλοῦμεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
73	1corintios	2	14	1corintios-2-14-P01	δέχεται	V-PMI-3S	1	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-13-P01	candidate	not_detected
74	1corintios	2	14	1corintios-2-14-P02	ἐστίν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
75	1corintios	2	14	1corintios-2-14-P03	δύναται	V-PMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
76	1corintios	2	14	1corintios-2-14-P04	ἀνακρίνεται	V-PPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
