structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0322	322	1corintios	734	734	13:13	13:13	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-13-13-P01	1corintios-13-13-P01	μένει	μένει
SR0323	323	1corintios	735	737	14:1	14:1	3	8	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	1corintios-14-1-P01	1corintios-14-1-P03	διώκετε	προφητεύητε
SR0324	324	1corintios	738	743	14:2	14:4	6	8	"{""stable"": 5, ""structural"": 1}"	"{""none"": 5, ""strong"": 1}"	1corintios-14-2-P01	1corintios-14-4-P02	λαλεῖ	οἰκοδομεῖ
SR0325	325	1corintios	744	744	14:5	14:5	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-5-P01	1corintios-14-5-P01	θέλω	θέλω
SR0326	326	1corintios	745	745	14:5	14:5	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-5-P02	1corintios-14-5-P02	προφητεύητε	προφητεύητε
SR0327	327	1corintios	746	747	14:5	14:5	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-14-5-P03	1corintios-14-5-P04	διερμηνεύῃ	λάβῃ
SR0328	328	1corintios	748	750	14:6	14:6	3	8	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	1corintios-14-6-P01	1corintios-14-6-P03	ἔλθω	λαλήσω
SR0329	329	1corintios	751	754	14:7	14:8	4	10	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	1corintios-14-7-P01	1corintios-14-8-P02	δῷ	παρασκευάσεται
SR0330	330	1corintios	755	755	14:9	14:9	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-9-P01	1corintios-14-9-P01	δῶτε	δῶτε
SR0331	331	1corintios	756	756	14:9	14:9	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-9-P02	1corintios-14-9-P02	γνωσθήσεται	γνωσθήσεται
SR0332	332	1corintios	757	757	14:9	14:9	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-9-P03	1corintios-14-9-P03	ἔσεσθε	ἔσεσθε
SR0333	333	1corintios	758	758	14:10	14:10	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-10-P01	1corintios-14-10-P01	τύχοι	τύχοι
SR0334	334	1corintios	759	759	14:10	14:10	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-10-P02	1corintios-14-10-P02	εἰσιν	εἰσιν
SR0335	335	1corintios	760	761	14:11	14:11	2	10	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-11-P01	1corintios-14-11-P02	εἰδῶ	ἔσομαι
SR0336	336	1corintios	762	764	14:12	14:12	3	12	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	1corintios-14-12-P01	1corintios-14-12-P03	ἐστε	περισσεύητε
SR0337	337	1corintios	765	766	14:13	14:13	2	10	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-13-P01	1corintios-14-13-P02	προσευχέσθω	διερμηνεύῃ
SR0338	338	1corintios	767	767	14:14	14:14	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-14-P01	1corintios-14-14-P01	προσεύχωμαι	προσεύχωμαι
SR0339	339	1corintios	768	770	14:14	14:15	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-14-14-P02	1corintios-14-15-P01	προσεύχεται	ἐστιν
SR0340	340	1corintios	771	774	14:15	14:15	4	4	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	1corintios-14-15-P02	1corintios-14-15-P05	προσεύξομαι	ψαλῶ
SR0341	341	1corintios	775	775	14:16	14:16	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P01	1corintios-14-16-P01	εὐλογῇς	εὐλογῇς
SR0342	342	1corintios	776	776	14:16	14:16	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P02	1corintios-14-16-P02	ἐρεῖ	ἐρεῖ
SR0343	343	1corintios	777	777	14:16	14:16	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P03	1corintios-14-16-P03	λέγεις	λέγεις
SR0344	344	1corintios	778	778	14:16	14:16	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P04	1corintios-14-16-P04	οἶδεν	οἶδεν
SR0345	345	1corintios	779	779	14:17	14:17	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-17-P01	1corintios-14-17-P01	εὐχαριστεῖς	εὐχαριστεῖς
SR0346	346	1corintios	780	780	14:17	14:17	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-17-P02	1corintios-14-17-P02	οἰκοδομεῖται	οἰκοδομεῖται
SR0347	347	1corintios	781	784	14:18	14:19	4	6	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	1corintios-14-18-P01	1corintios-14-19-P02	εὐχαριστῶ	κατηχήσω
