BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	6	10	01	ὃ	05	que	direct
romanos	6	10	02	γὰρ	06	Él	direct
romanos	6	10	03	ἀπέθανεν,	07	murió,	direct
romanos	6	10	04	τῇ	08,09	murió al	expanded
romanos	6	10	05	ἁμαρτίᾳ	10	pecado	direct
romanos	6	10	06	ἀπέθανεν	11	de	direct
romanos	6	10	07	ἐφάπαξ·	12	una	direct
romanos	6	10	08	ὃ	13	vez	direct
romanos	6	10	09	δὲ	14,15	para siempre;	expanded
romanos	6	10	10	ζῇ,	16	pero	direct
romanos	6	10	11	ζῇ	17	en	direct
romanos	6	10	12	τῷ	18	cuanto	direct
romanos	6	10	13	θεῷ.	19	Él	direct
