BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	16	20	01	ὁ	01	Y	direct
romanos	16	20	02	δὲ	02,03	el Dios	expanded
romanos	16	20	03	θεὸς	04	de	direct
romanos	16	20	04	τῆς	05	paz	direct
romanos	16	20	05	εἰρήνης	06	aplastará	direct
romanos	16	20	06	συντρίψει	07	pronto	direct
romanos	16	20	07	τὸν	08	a	direct
romanos	16	20	08	Σατανᾶν	09	Satanás	direct
romanos	16	20	09	ὑπὸ	10	debajo	direct
romanos	16	20	10	τοὺς	11	de	direct
romanos	16	20	11	πόδας	12	los	direct
romanos	16	20	12	ὑμῶν	-	-	missing
romanos	16	20	13	ἐν	13,14,15	pies de ustedes.	expanded
romanos	16	20	14	τάχει.	16	La	direct
romanos	16	20	15	ἡ	17	gracia	direct
romanos	16	20	16	χάρις	18	de	direct
romanos	16	20	17	τοῦ	19	nuestro	direct
romanos	16	20	18	κυρίου	20,21	Señor Jesucristo	expanded
romanos	16	20	19	ἡμῶν	22	sea	direct
romanos	16	20	20	Ἰησοῦ	23	con	direct
romanos	16	20	21	⸀Χριστοῦ	24	ustedes.	direct
romanos	16	20	22	μεθʼ	-	-	missing
romanos	16	20	23	ὑμῶν.	-	-	missing
