BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	9	20	01	⸂ὦ	01	Al	direct
romanos	9	20	02	ἄνθρωπε,	02	contrario,	direct
romanos	9	20	03	μενοῦνγε⸃	03	¿quién	direct
romanos	9	20	04	σὺ	04	eres	direct
romanos	9	20	05	τίς	05	tú,	direct
romanos	9	20	06	εἶ	06	oh	direct
romanos	9	20	07	ὁ	07	hombre,	direct
romanos	9	20	08	ἀνταποκρινόμενος	08	que	direct
romanos	9	20	09	τῷ	15	el	direct
romanos	9	20	10	θεῷ;	16	objeto	direct
romanos	9	20	11	μὴ	17	modelado	direct
romanos	9	20	12	ἐρεῖ	18	al	direct
romanos	9	20	13	τὸ	19	que	direct
romanos	9	20	14	πλάσμα	20	lo	direct
romanos	9	20	15	τῷ	21	modela:	direct
romanos	9	20	16	πλάσαντι	22	«Por	direct
romanos	9	20	17	Τί	23	qué	direct
romanos	9	20	18	με	24	me	direct
romanos	9	20	19	ἐποίησας	25	hiciste	direct
romanos	9	20	20	οὕτως;	26	así?».	direct
