diagnostic_type	name	value	count	total	details
flat_region_detection	window_6	32	6	3	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""2:13"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""2:9""}"
flat_region_detection	window_10	36	0	0	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""3:15"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""3:11""}"
flat_region_detection	window_15	32	6	3	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""4:14"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""4:9""}"
flat_region_detection	window_23	34	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""7:5"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""6:19""}"
flat_region_detection	window_25	34	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""7:14"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""7:11""}"
flat_region_detection	window_31	30	5	2	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""7:38"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""7:36""}"
flat_region_detection	window_39	35	4	2	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""9:23"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""9:18""}"
flat_region_detection	window_41	29	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""10:6"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""9:27""}"
flat_region_detection	window_49	34	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""11:16"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""11:8""}"
flat_region_detection	window_51	34	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""11:24"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""11:22""}"
flat_region_detection	window_59	35	5	2	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""13:5"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""13:2""}"
flat_region_detection	window_60	29	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""13:9"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""13:5""}"
flat_region_detection	window_68	34	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""14:28"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""14:26""}"
flat_region_detection	window_76	29	8	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""15:32"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""15:27""}"
flat_region_detection	window_79	33	6	4	"{""dominant_field"": ""stable"", ""dominant_tendency"": ""EXPONE"", ""end_ref"": ""15:49"", ""movement_band"": ""extended_stable_field"", ""start_ref"": ""15:43""}"
window_sensitivity	extended_stable_field	1.0088	23	22	"{""counts"": [8, 23, 30, 31, 22], ""window_sizes"": [8, 10, 12, 14, 16]}"
window_sensitivity	mixed_continuity	2.8529	97	34	"{""counts"": [97, 51, 20, 2, 0], ""window_sizes"": [8, 10, 12, 14, 16]}"
window_sensitivity	movement_accumulation	1.3725	14	10	"{""counts"": [3, 6, 11, 14, 17], ""window_sizes"": [8, 10, 12, 14, 16]}"
window_sensitivity	recovery_field	0.7143	1	1	"{""counts"": [1, 2, 2, 1, 1], ""window_sizes"": [8, 10, 12, 14, 16]}"
window_sensitivity	transition_cluster	0.2727	6	22	"{""counts"": [19, 20, 22, 25, 24], ""window_sizes"": [8, 10, 12, 14, 16]}"
overlap_stability	extended_stable_field	0.0625	2	32	"{""base_count"": 30, ""offset"": 6, ""shifted_count"": 32, ""window_size"": 12}"
overlap_stability	mixed_continuity	0.0476	1	21	"{""base_count"": 20, ""offset"": 6, ""shifted_count"": 21, ""window_size"": 12}"
overlap_stability	movement_accumulation	0.0909	1	11	"{""base_count"": 11, ""offset"": 6, ""shifted_count"": 10, ""window_size"": 12}"
overlap_stability	recovery_field	0.5	1	2	"{""base_count"": 2, ""offset"": 6, ""shifted_count"": 1, ""window_size"": 12}"
overlap_stability	transition_cluster	0.0455	1	22	"{""base_count"": 22, ""offset"": 6, ""shifted_count"": 21, ""window_size"": 12}"
