BOOK	CH	VS	CLAUSE_ID	FINITE_G_IDX	FINITE_GREEK	FINITE_LEMMA	FINITE_RMAC	SPAN_START	SPAN_END	SPAN_GIDX	SPAN_TEXT	SPAN_STATUS	BOUNDARY_NOTES
1corintios	1	19	C2	03	ἀπολῶ	ἀπόλλυμι	V-FAI-1S	03	12	03,04,05,06,07,08,09,10,11,12	==ἀπολῶ== τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν	suggested-span	neutral finite-anchor region
1corintios	1	19	C3	13	ἀθετήσω	ἀθετέω	V-FAI-1S	13	13	13	==ἀθετήσω==	suggested-span	neutral finite-anchor region
1corintios	1	20	C1	11	ἐμώρανεν	μωραίνω	V-AAI-3S	01	17	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17	ποῦ σοφός ποῦ γραμματεύς ποῦ συζητητὴς τοῦ αἰῶνος τούτου οὐχὶ ==ἐμώρανεν== ὁ θεὸς τὴν σοφίαν τοῦ κόσμου	suggested-span	neutral finite-anchor region
1corintios	1	21	C1	09	ἔγνω	γινώσκω	V-AAI-3S	01	16	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16	ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	suggested-span	neutral finite-anchor region
1corintios	1	21	C2	17	εὐδόκησεν	εὐδοκέω	V-AAI-3S	17	27	17,18,19,20,21,22,23,24,25,26,27	==εὐδόκησεν== ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας	suggested-span	neutral finite-anchor region
1corintios	1	22	C1	05	αἰτοῦσιν	αἰτέω	V-PAI-3P	01	08	01,02,03,04,05,06,07,08	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	suggested-span	neutral finite-anchor region
1corintios	1	22	C2	09	ζητοῦσιν	ζητέω	V-PAI-3P	09	09	09	==ζητοῦσιν==	suggested-span	neutral finite-anchor region
1corintios	1	23	C1	03	κηρύσσομεν	κηρύσσω	V-PAI-1P	01	11	01,02,03,04,05,06,07,08,09,10,11	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	suggested-span	neutral finite-anchor region
1corintios	1	25	C1	09	ἐστίν	εἰμί	V-PAI-3S	01	17	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17	ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων	suggested-span	neutral finite-anchor region
1corintios	1	26	C1	01	βλέπετε	βλέπω	V-PAI-2P	01	18	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18	==βλέπετε== γὰρ τὴν κλῆσιν ὑμῶν ἀδελφοί ὅτι οὐ πολλοὶ σοφοὶ κατὰ σάρκα οὐ πολλοὶ δυνατοί οὐ πολλοὶ εὐγενεῖς	suggested-span	neutral finite-anchor region
