structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0195	195	1corintios	564	564	11:2	11:2	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-2-P02	1corintios-11-2-P02	μέμνησθε	μέμνησθε
SR0196	196	1corintios	565	565	11:2	11:2	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-11-2-P03	1corintios-11-2-P03	παρέδωκα	παρέδωκα
SR0197	197	1corintios	566	566	11:2	11:2	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-2-P04	1corintios-11-2-P04	κατέχετε	κατέχετε
SR0198	198	1corintios	567	568	11:3	11:3	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-11-3-P01	1corintios-11-3-P02	θέλω	ἐστιν
SR0199	199	1corintios	569	579	11:4	11:10	11	12	"{""stable"": 6, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 6, ""strong"": 1}"	1corintios-11-4-P01	1corintios-11-10-P01	καταισχύνει	ὀφείλει
SR0200	200	1corintios	580	580	11:13	11:13	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-11-13-P01	1corintios-11-13-P01	κρίνατε	κρίνατε
SR0201	201	1corintios	581	588	11:13	11:16	8	14	"{""stable"": 2, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 2}"	1corintios-11-13-P02	1corintios-11-16-P01	ἐστὶν	δοκεῖ
SR0202	202	1corintios	589	589	11:16	11:16	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-16-P02	1corintios-11-16-P02	ἔχομεν	ἔχομεν
SR0203	203	1corintios	590	590	11:17	11:17	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-11-17-P01	1corintios-11-17-P01	ἐπαινῶ	ἐπαινῶ
SR0204	204	1corintios	591	591	11:17	11:17	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-17-P02	1corintios-11-17-P02	συνέρχεσθε	συνέρχεσθε
SR0205	205	1corintios	592	593	11:18	11:18	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-11-18-P01	1corintios-11-18-P02	ἀκούω	πιστεύω
SR0206	206	1corintios	594	599	11:19	11:21	6	6	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	1corintios-11-19-P01	1corintios-11-21-P03	δεῖ	μεθύει
SR0207	207	1corintios	600	602	11:22	11:22	3	4	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	1corintios-11-22-P01	1corintios-11-22-P03	ἔχετε	καταισχύνετε
SR0208	208	1corintios	603	628	11:22	11:29	26	26	"{""stable"": 17, ""structural"": 4, ""turbulence"": 5}"	"{""candidate"": 8, ""none"": 17, ""strong"": 1}"	1corintios-11-22-P04	1corintios-11-29-P02	εἴπω	πίνει
SR0209	209	1corintios	629	629	11:30	11:30	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-11-30-P01	1corintios-11-30-P01	κοιμῶνται	κοιμῶνται
SR0210	210	1corintios	630	633	11:31	11:32	4	8	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	1corintios-11-31-P01	1corintios-11-32-P02	διεκρίνομεν	κατακριθῶμεν
SR0211	211	1corintios	634	635	11:33	11:34	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-11-33-P01	1corintios-11-34-P01	ἐκδέχεσθε	πεινᾷ
SR0212	212	1corintios	636	636	11:34	11:34	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-34-P02	1corintios-11-34-P02	ἐσθιέτω	ἐσθιέτω
SR0213	213	1corintios	637	637	11:34	11:34	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-11-34-P03	1corintios-11-34-P03	συνέρχησθε	συνέρχησθε
