book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	15:32	913	ἀποθνῄσκω	1corintios-15-31-P01	310	ἐγείρονται	1corintios-15-32-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	4	15:31	910	SR0310	4		SMR0102
1corintios	15:33	918	φάγωμεν	1corintios-15-32-P03	311	φθείρουσιν	1corintios-15-33-P02	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	5	15:32	914	SR0311	8	['SR0312', 'SR0313']	SMR0103
1corintios	15:38	932	ἐκνήψατε	1corintios-15-34-P01	314	δίδωσιν	1corintios-15-38-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	14	15:34	919	SR0314	30	['SR0315', 'SR0316', 'SR0317', 'SR0318', 'SR0319', 'SR0320', 'SR0321', 'SR0322']	SMR0104
1corintios	15:52	957	ἠθέλησεν	1corintios-15-38-P02	323	ἀλλαγησόμεθα	1corintios-15-52-P03	"{""stable"": 10, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 10, ""strong"": 1}"	25	15:38	933	SR0323	38	['SR0324', 'SR0325', 'SR0326', 'SR0327', 'SR0328', 'SR0329', 'SR0330']	SMR0105
1corintios	16:4	975	δεῖ	1corintios-15-53-P01	331	πορεύσονται	1corintios-16-4-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2}"	18	15:53	958	SR0331	64	['SR0332', 'SR0333', 'SR0334', 'SR0335', 'SR0336', 'SR0337', 'SR0338', 'SR0339', 'SR0340', 'SR0341', 'SR0342']	SMR0106
1corintios	16:6	981	ἐλεύσομαι	1corintios-16-5-P01	343	προπέμψητε	1corintios-16-6-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2}"	6	16:5	976	SR0343	14	['SR0344']	SMR0107
1corintios	16:10	989	πορεύωμαι	1corintios-16-6-P04	345	βλέπετε	1corintios-16-10-P02	"{""stable"": 1, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 1}"	8	16:6	982	SR0345	20	['SR0346', 'SR0347']	SMR0108
1corintios	16:12	996	γένηται	1corintios-16-10-P03	348	παρεκάλεσα	1corintios-16-12-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	7	16:10	990	SR0348	22	['SR0349', 'SR0350', 'SR0351']	SMR0109
1corintios	16:20	1014	ἔλθῃ	1corintios-16-12-P02	352	ἀσπάζονται	1corintios-16-20-P01	"{""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 5, ""strong"": 1}"	18	16:12	997	SR0352	58	['SR0353', 'SR0354', 'SR0355', 'SR0356', 'SR0357', 'SR0358', 'SR0359', 'SR0360', 'SR0361', 'SR0362', 'SR0363', 'SR0364']	SMR0110
1corintios	16:22	1018	ἀσπάσασθε	1corintios-16-20-P02	365	θά	1corintios-16-22-P03	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	4	16:20	1015	SR0365	8	['SR0366']	SMR0111
