stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status	prev_2	prev_1	current	next_1	next_2
513	1corintios	10	13	1corintios-10-13-P02	ἐάσει	V-FAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=511 | ref=10:12 | pid=1corintios-10-12-P02 | verb=πέσῃ | compact=V-AAS-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=512 | ref=10:13 | pid=1corintios-10-13-P01 | verb=εἴληφεν | compact=V-XAI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=513 | ref=10:13 | pid=1corintios-10-13-P02 | verb=ἐάσει | compact=V-FAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=514 | ref=10:13 | pid=1corintios-10-13-P03 | verb=δύνασθε | compact=V-PMI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=515 | ref=10:13 | pid=1corintios-10-13-P04 | verb=ποιήσει | compact=V-FAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
529	1corintios	10	19	1corintios-10-19-P02	ἐστιν	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=527 | ref=10:18 | pid=1corintios-10-18-P02 | verb=εἰσίν | compact=V-PAI-3P | subj=2P | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=528 | ref=10:19 | pid=1corintios-10-19-P01 | verb=φημι | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=529 | ref=10:19 | pid=1corintios-10-19-P02 | verb=ἐστιν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=530 | ref=10:19 | pid=1corintios-10-19-P03 | verb=ἐστιν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=531 | ref=10:20 | pid=1corintios-10-20-P01 | verb=θύουσιν | compact=V-PAI-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate
530	1corintios	10	19	1corintios-10-19-P03	ἐστιν	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=528 | ref=10:19 | pid=1corintios-10-19-P01 | verb=φημι | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=529 | ref=10:19 | pid=1corintios-10-19-P02 | verb=ἐστιν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=530 | ref=10:19 | pid=1corintios-10-19-P03 | verb=ἐστιν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=531 | ref=10:20 | pid=1corintios-10-20-P01 | verb=θύουσιν | compact=V-PAI-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate	idx=532 | ref=10:20 | pid=1corintios-10-20-P02 | verb=θύουσιν | compact=V-PAI-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
544	1corintios	10	27	1corintios-10-27-P01	καλεῖ	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=542 | ref=10:24 | pid=1corintios-10-24-P01 | verb=ζητείτω | compact=V-PAD-3S | subj=1P | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=543 | ref=10:25 | pid=1corintios-10-25-P01 | verb=ἐσθίετε | compact=V-PAD-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=544 | ref=10:27 | pid=1corintios-10-27-P01 | verb=καλεῖ | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=545 | ref=10:27 | pid=1corintios-10-27-P02 | verb=θέλετε | compact=V-PAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=546 | ref=10:27 | pid=1corintios-10-27-P03 | verb=ἐσθίετε | compact=V-PAD-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
547	1corintios	10	28	1corintios-10-28-P01	εἴπῃ	V-AAS-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=545 | ref=10:27 | pid=1corintios-10-27-P02 | verb=θέλετε | compact=V-PAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=546 | ref=10:27 | pid=1corintios-10-27-P03 | verb=ἐσθίετε | compact=V-PAD-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=547 | ref=10:28 | pid=1corintios-10-28-P01 | verb=εἴπῃ | compact=V-AAS-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=548 | ref=10:28 | pid=1corintios-10-28-P02 | verb=ἐστιν | compact=V-PAI-3S | subj=2P | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=549 | ref=10:28 | pid=1corintios-10-28-P03 | verb=ἐσθίετε | compact=V-PAD-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
595	1corintios	11	19	1corintios-11-19-P02	γένωνται	V-AMS-3P	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=593 | ref=11:18 | pid=1corintios-11-18-P02 | verb=πιστεύω | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=594 | ref=11:19 | pid=1corintios-11-19-P01 | verb=δεῖ | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=595 | ref=11:19 | pid=1corintios-11-19-P02 | verb=γένωνται | compact=V-AMS-3P | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=596 | ref=11:20 | pid=1corintios-11-20-P01 | verb=ἔστιν | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=597 | ref=11:21 | pid=1corintios-11-21-P01 | verb=προλαμβάνει | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
621	1corintios	11	27	1corintios-11-27-P01	ἐσθίῃ	V-PAS-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=619 | ref=11:26 | pid=1corintios-11-26-P03 | verb=καταγγέλλετε | compact=V-PAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=620 | ref=11:26 | pid=1corintios-11-26-P04 | verb=ἔλθῃ | compact=V-AAS-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=621 | ref=11:27 | pid=1corintios-11-27-P01 | verb=ἐσθίῃ | compact=V-PAS-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=622 | ref=11:27 | pid=1corintios-11-27-P02 | verb=πίνῃ | compact=V-PAS-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=623 | ref=11:27 | pid=1corintios-11-27-P03 | verb=ἔσται | compact=V-FMI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected
653	1corintios	12	11	1corintios-12-11-P02	βούλεται	V-PMI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=651 | ref=12:8 | pid=1corintios-12-8-P01 | verb=δίδοται | compact=V-PPI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=652 | ref=12:11 | pid=1corintios-12-11-P01 | verb=ἐνεργεῖ | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=653 | ref=12:11 | pid=1corintios-12-11-P02 | verb=βούλεται | compact=V-PMI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=654 | ref=12:12 | pid=1corintios-12-12-P01 | verb=ἐστιν | compact=V-PAI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=655 | ref=12:12 | pid=1corintios-12-12-P02 | verb=ἔχει | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
804	1corintios	14	25	1corintios-14-25-P03	ἐστιν	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=802 | ref=14:25 | pid=1corintios-14-25-P01 | verb=γίνεται | compact=V-PMI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=803 | ref=14:25 | pid=1corintios-14-25-P02 | verb=προσκυνήσει | compact=V-FAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=804 | ref=14:25 | pid=1corintios-14-25-P03 | verb=ἐστιν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=805 | ref=14:26 | pid=1corintios-14-26-P01 | verb=ἐστιν | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=806 | ref=14:26 | pid=1corintios-14-26-P02 | verb=συνέρχησθε | compact=V-PMS-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate
830	1corintios	14	34	1corintios-14-34-P04	λέγει	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=828 | ref=14:34 | pid=1corintios-14-34-P02 | verb=ἐπιτρέπεται | compact=V-PPI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=829 | ref=14:34 | pid=1corintios-14-34-P03 | verb=ὑποτασσέσθωσαν | compact=V-PPD-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=830 | ref=14:34 | pid=1corintios-14-34-P04 | verb=λέγει | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=831 | ref=14:35 | pid=1corintios-14-35-P01 | verb=θέλουσιν | compact=V-PAI-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate	idx=832 | ref=14:35 | pid=1corintios-14-35-P02 | verb=ἐπερωτάτωσαν | compact=V-PAD-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
