BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	16	23	01	ἀσπάζεται	01	Gayo,	direct
romanos	16	23	02	ὑμᾶς	09	los	direct
romanos	16	23	03	Γάϊος	10	saluda.	direct
romanos	16	23	04	ὁ	11	Erasto,	direct
romanos	16	23	05	ξένος	12	el	direct
romanos	16	23	06	μου	13	tesorero	direct
romanos	16	23	07	καὶ	14,15	de la	expanded
romanos	16	23	08	⸂ὅλης	16	ciudad,	direct
romanos	16	23	09	τῆς	17	los	direct
romanos	16	23	10	ἐκκλησίας⸃.	18	saluda,	direct
romanos	16	23	11	ἀσπάζεται	19	y	direct
romanos	16	23	12	ὑμᾶς	20	el	direct
romanos	16	23	13	Ἔραστος	21	hermano	direct
romanos	16	23	14	ὁ	22	Cuarto.	direct
romanos	16	23	15	οἰκονόμος	-	-	missing
romanos	16	23	16	τῆς	-	-	missing
romanos	16	23	17	πόλεως	-	-	missing
romanos	16	23	18	καὶ	-	-	missing
romanos	16	23	19	Κούαρτος	-	-	missing
romanos	16	23	20	ὁ	-	-	missing
romanos	16	23	21	ἀδελφός.	-	-	missing
