BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	9	01	διὰ	01,02,03	no obstante, por	expanded
filemon	1	9	02	τὴν	04	causa	direct
filemon	1	9	03	ἀγάπην	05	del	direct
filemon	1	9	04	μᾶλλον	06	amor	direct
filemon	1	9	05	παρακαλῶ,	07	que	direct
filemon	1	9	06	τοιοῦτος	08	te	direct
filemon	1	9	07	ὢν	09	tengo,	direct
filemon	1	9	08	ὡς	15	como	direct
filemon	1	9	09	Παῦλος	16	soy,	direct
filemon	1	9	10	πρεσβύτης	17	Pablo,	direct
filemon	1	9	11	νυνὶ	18	anciano,	direct
filemon	1	9	12	δὲ	19,20	y ahora	expanded
filemon	1	9	13	καὶ	21,22	también prisionero	expanded
filemon	1	9	14	δέσμιος	23	de	direct
filemon	1	9	15	⸂Χριστοῦ	24	Cristo	direct
filemon	1	9	16	Ἰησοῦ⸃—	25	Jesús:	direct
