BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	21	01	πεποιθὼς	03	confiado	direct
filemon	1	21	02	τῇ	04	en	expanded
filemon	1	21	03	ὑπακοῇ	06	obediencia,	direct
filemon	1	21	04	σου	05	tu	direct
filemon	1	21	05	ἔγραψά	02	escribo	direct
filemon	1	21	06	σοι,	01	Te	direct
filemon	1	21	07	εἰδὼς	07	sabiendo	direct
filemon	1	21	08	ὅτι	08	que	direct
filemon	1	21	09	καὶ	10	aún	expanded
filemon	1	21	10	ὑπὲρ	11,12	más de	expanded
filemon	1	21	11	⸀ἃ	13,14	lo que	expanded
filemon	1	21	12	λέγω	15	digo.	direct
filemon	1	21	13	ποιήσεις.	09	harás	direct
