BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
filemon	1	14	01	χωρὶς	01	Pero	direct
filemon	1	14	02	δὲ	02,03	no quise	expanded
filemon	1	14	03	τῆς	04	hacer	direct
filemon	1	14	04	σῆς	05	nada	direct
filemon	1	14	05	γνώμης	06	sin	direct
filemon	1	14	06	οὐδὲν	07	tu	direct
filemon	1	14	07	ἠθέλησα	08	consentimiento,	direct
filemon	1	14	08	ποιῆσαι,	09	para	direct
filemon	1	14	09	ἵνα	10,11,12,13	que tu bondad no	expanded
filemon	1	14	10	μὴ	14	fuera	direct
filemon	1	14	11	ὡς	15	como	direct
filemon	1	14	12	κατὰ	16	por	direct
filemon	1	14	13	ἀνάγκην	17	obligación,	direct
filemon	1	14	14	τὸ	18	sino	direct
filemon	1	14	15	ἀγαθόν	19	por	direct
filemon	1	14	16	σου	20	tu	direct
filemon	1	14	17	ᾖ	21	propia	direct
filemon	1	14	18	ἀλλὰ	22	voluntad.	expanded
filemon	1	14	19	κατὰ	-	-	missing
filemon	1	14	20	ἑκούσιον·	-	-	missing
