stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons	movement_class	movement_class_source	structural_weight	regime_capable
241	1corintios	6	11	1corintios-6-11-P04	1corintios-6-11-P03	ἐδικαιώθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
242	1corintios	6	12	1corintios-6-12-P01	1corintios-6-11-P04	ἔξεστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
243	1corintios	6	12	1corintios-6-12-P02	1corintios-6-12-P01	συμφέρει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
244	1corintios	6	12	1corintios-6-12-P03	1corintios-6-12-P02	ἔξεστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
245	1corintios	6	12	1corintios-6-12-P04	1corintios-6-12-P03	ἐξουσιασθήσομαι	V-FPI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
246	1corintios	6	13	1corintios-6-13-P01	1corintios-6-12-P04	καταργήσει	V-FAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
247	1corintios	6	14	1corintios-6-14-P01	1corintios-6-13-P01	ἤγειρεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
248	1corintios	6	14	1corintios-6-14-P02	1corintios-6-14-P01	ἐξεγερεῖ	V-FAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
249	1corintios	6	15	1corintios-6-15-P01	1corintios-6-14-P02	οἴδατε	V-XAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
250	1corintios	6	15	1corintios-6-15-P02	1corintios-6-15-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
251	1corintios	6	15	1corintios-6-15-P03	1corintios-6-15-P02	ποιήσω	V-AAS-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
252	1corintios	6	15	1corintios-6-15-P04	1corintios-6-15-P03	γένοιτο	V-AMO-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
253	1corintios	6	16	1corintios-6-16-P01	1corintios-6-15-P04	οἴδατε	V-XAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
254	1corintios	6	16	1corintios-6-16-P02	1corintios-6-16-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
255	1corintios	6	16	1corintios-6-16-P03	1corintios-6-16-P02	ἔσονται	V-FMI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
256	1corintios	6	16	1corintios-6-16-P04	1corintios-6-16-P03	φησίν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
257	1corintios	6	17	1corintios-6-17-P01	1corintios-6-16-P04	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
258	1corintios	6	18	1corintios-6-18-P01	1corintios-6-17-P01	φεύγετε	V-PAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
259	1corintios	6	18	1corintios-6-18-P02	1corintios-6-18-P01	ποιήσῃ	V-AAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
260	1corintios	6	18	1corintios-6-18-P03	1corintios-6-18-P02	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
261	1corintios	6	18	1corintios-6-18-P04	1corintios-6-18-P03	ἁμαρτάνει	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
262	1corintios	6	19	1corintios-6-19-P01	1corintios-6-18-P04	οἴδατε	V-XAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
263	1corintios	6	19	1corintios-6-19-P02	1corintios-6-19-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
264	1corintios	6	19	1corintios-6-19-P03	1corintios-6-19-P02	ἔχετε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
265	1corintios	6	19	1corintios-6-19-P04	1corintios-6-19-P03	ἐστὲ	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
266	1corintios	6	20	1corintios-6-20-P01	1corintios-6-19-P04	ἠγοράσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
267	1corintios	6	20	1corintios-6-20-P02	1corintios-6-20-P01	δοξάσατε	V-AAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
268	1corintios	7	1	1corintios-7-1-P01	1corintios-6-20-P02	ἐγράψατε	V-AAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
269	1corintios	7	2	1corintios-7-2-P01	1corintios-7-1-P01	ἐχέτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
270	1corintios	7	2	1corintios-7-2-P02	1corintios-7-2-P01	ἐχέτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
271	1corintios	7	3	1corintios-7-3-P01	1corintios-7-2-P02	ἀποδιδότω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
272	1corintios	7	4	1corintios-7-4-P01	1corintios-7-3-P01	ἐξουσιάζει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
273	1corintios	7	4	1corintios-7-4-P02	1corintios-7-4-P01	ἐξουσιάζει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
274	1corintios	7	5	1corintios-7-5-P01	1corintios-7-4-P02	ἀποστερεῖτε	V-PAD-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
275	1corintios	7	5	1corintios-7-5-P02	1corintios-7-5-P01	σχολάσητε	V-AAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
276	1corintios	7	5	1corintios-7-5-P03	1corintios-7-5-P02	ἦτε	V-PAS-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
277	1corintios	7	5	1corintios-7-5-P04	1corintios-7-5-P03	πειράζῃ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
278	1corintios	7	6	1corintios-7-6-P01	1corintios-7-5-P04	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
279	1corintios	7	7	1corintios-7-7-P01	1corintios-7-6-P01	θέλω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
280	1corintios	7	7	1corintios-7-7-P02	1corintios-7-7-P01	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
281	1corintios	7	8	1corintios-7-8-P01	1corintios-7-7-P02	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
282	1corintios	7	8	1corintios-7-8-P02	1corintios-7-8-P01	μείνωσιν	V-AAS-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
283	1corintios	7	9	1corintios-7-9-P01	1corintios-7-8-P02	ἐγκρατεύονται	V-PMI-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	none	0	[]	stable	no_movement_reason	0	False
284	1corintios	7	9	1corintios-7-9-P02	1corintios-7-9-P01	γαμησάτωσαν	V-AAD-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
285	1corintios	7	9	1corintios-7-9-P03	1corintios-7-9-P02	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
286	1corintios	7	10	1corintios-7-10-P01	1corintios-7-9-P03	παραγγέλλω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
287	1corintios	7	11	1corintios-7-11-P01	1corintios-7-10-P01	χωρισθῇ	V-APS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
288	1corintios	7	11	1corintios-7-11-P02	1corintios-7-11-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
289	1corintios	7	11	1corintios-7-11-P03	1corintios-7-11-P02	καταλλαγήτω—	V-APD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
290	1corintios	7	12	1corintios-7-12-P01	1corintios-7-11-P03	λέγω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
291	1corintios	7	12	1corintios-7-12-P02	1corintios-7-12-P01	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
292	1corintios	7	12	1corintios-7-12-P03	1corintios-7-12-P02	συνευδοκεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
293	1corintios	7	12	1corintios-7-12-P04	1corintios-7-12-P03	ἀφιέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
294	1corintios	7	13	1corintios-7-13-P01	1corintios-7-12-P04	ἔχει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
295	1corintios	7	13	1corintios-7-13-P02	1corintios-7-13-P01	συνευδοκεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
296	1corintios	7	13	1corintios-7-13-P03	1corintios-7-13-P02	ἀφιέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
297	1corintios	7	14	1corintios-7-14-P01	1corintios-7-13-P03	ἡγίασται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
298	1corintios	7	14	1corintios-7-14-P02	1corintios-7-14-P01	ἡγίασται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
299	1corintios	7	14	1corintios-7-14-P03	1corintios-7-14-P02	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
300	1corintios	7	14	1corintios-7-14-P04	1corintios-7-14-P03	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
301	1corintios	7	15	1corintios-7-15-P01	1corintios-7-14-P04	χωρίζεται	V-PPI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
302	1corintios	7	15	1corintios-7-15-P02	1corintios-7-15-P01	χωριζέσθω	V-PPD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
303	1corintios	7	15	1corintios-7-15-P03	1corintios-7-15-P02	δεδούλωται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
304	1corintios	7	15	1corintios-7-15-P04	1corintios-7-15-P03	κέκληκεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
305	1corintios	7	16	1corintios-7-16-P01	1corintios-7-15-P04	οἶδας	V-XAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
306	1corintios	7	16	1corintios-7-16-P02	1corintios-7-16-P01	σώσεις	V-FAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
307	1corintios	7	16	1corintios-7-16-P03	1corintios-7-16-P02	οἶδας	V-XAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
308	1corintios	7	16	1corintios-7-16-P04	1corintios-7-16-P03	σώσεις	V-FAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
309	1corintios	7	17	1corintios-7-17-P01	1corintios-7-16-P04	ἐμέρισεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
310	1corintios	7	17	1corintios-7-17-P02	1corintios-7-17-P01	κέκληκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	none	0	[]	stable	no_movement_reason	0	False
311	1corintios	7	17	1corintios-7-17-P03	1corintios-7-17-P02	περιπατείτω	V-PAD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
312	1corintios	7	17	1corintios-7-17-P04	1corintios-7-17-P03	διατάσσομαι	V-PMI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
313	1corintios	7	18	1corintios-7-18-P01	1corintios-7-17-P04	ἐκλήθη;	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
314	1corintios	7	18	1corintios-7-18-P02	1corintios-7-18-P01	ἐπισπάσθω	V-PMD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
315	1corintios	7	18	1corintios-7-18-P03	1corintios-7-18-P02	κέκληταί	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
316	1corintios	7	18	1corintios-7-18-P04	1corintios-7-18-P03	περιτεμνέσθω	V-PPD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
317	1corintios	7	19	1corintios-7-19-P01	1corintios-7-18-P04	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
318	1corintios	7	19	1corintios-7-19-P02	1corintios-7-19-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
319	1corintios	7	20	1corintios-7-20-P01	1corintios-7-19-P02	ἐκλήθη	V-API-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
320	1corintios	7	20	1corintios-7-20-P02	1corintios-7-20-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
321	1corintios	7	21	1corintios-7-21-P01	1corintios-7-20-P02	ἐκλήθης;	V-API-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
322	1corintios	7	21	1corintios-7-21-P02	1corintios-7-21-P01	μελέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
323	1corintios	7	21	1corintios-7-21-P03	1corintios-7-21-P02	δύνασαι	V-PMI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
324	1corintios	7	21	1corintios-7-21-P04	1corintios-7-21-P03	χρῆσαι	V-AMD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
325	1corintios	7	22	1corintios-7-22-P01	1corintios-7-21-P04	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
326	1corintios	7	22	1corintios-7-22-P02	1corintios-7-22-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
327	1corintios	7	23	1corintios-7-23-P01	1corintios-7-22-P02	ἠγοράσθητε	V-API-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
328	1corintios	7	23	1corintios-7-23-P02	1corintios-7-23-P01	γίνεσθε	V-PMD-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
329	1corintios	7	24	1corintios-7-24-P01	1corintios-7-23-P02	ἐκλήθη	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"	structural	high_weight_reason	6	True
330	1corintios	7	24	1corintios-7-24-P02	1corintios-7-24-P01	μενέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
331	1corintios	7	25	1corintios-7-25-P01	1corintios-7-24-P02	ἔχω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
332	1corintios	7	25	1corintios-7-25-P02	1corintios-7-25-P01	δίδωμι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
333	1corintios	7	26	1corintios-7-26-P01	1corintios-7-25-P02	νομίζω	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
334	1corintios	7	27	1corintios-7-27-P01	1corintios-7-26-P01	δέδεσαι	V-XPI-2S	2	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
335	1corintios	7	27	1corintios-7-27-P02	1corintios-7-27-P01	ζήτει	V-PAD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
336	1corintios	7	27	1corintios-7-27-P03	1corintios-7-27-P02	λέλυσαι	V-XPI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
337	1corintios	7	27	1corintios-7-27-P04	1corintios-7-27-P03	ζήτει	V-PAD-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
338	1corintios	7	28	1corintios-7-28-P01	1corintios-7-27-P04	γαμήσῃς	V-AAS-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
339	1corintios	7	28	1corintios-7-28-P02	1corintios-7-28-P01	ἥμαρτες	V-AAI-2S	2	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
340	1corintios	7	28	1corintios-7-28-P03	1corintios-7-28-P02	γήμῃ	V-AAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
341	1corintios	7	28	1corintios-7-28-P04	1corintios-7-28-P03	ἥμαρτεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
342	1corintios	7	28	1corintios-7-28-P05	1corintios-7-28-P04	ἕξουσιν	V-FAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"	structural	high_weight_reason	4	True
