book	continuity_counts	continuity_initial_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	dominant_continuity_status	dominant_movement_class	dominant_movement_status	dominant_subject_profile	end_reference	end_stream_index	max_structural_weight	merged_regime_id	movement_class_counts	movement_status_counts	record_count	signature_code	source_regime_id	stable_density	start_reference	start_stream_index	structural_density	structural_signature_id	subject_profile_counts	total_structural_weight	turbulence_density	weight_per_record	structural_family_id	family_distance
1corintios	"{""same"": 2, ""shift"": 6}"	0.0	0.25	0.75	0.0	shift	structural	candidate	3S	3:10	104	8	SMR0012	"{""stable"": 1, ""structural"": 6, ""turbulence"": 1}"	"{""candidate"": 4, ""none"": 1, ""strong"": 3}"	8	structural=very_high|turbulence=low|stable=low|continuity_same=medium|continuity_shift=very_high|continuity_unresolved=none|weight=very_high	SR0048	0.125	3:6	97	0.75	SMR0012	"{""1P"": 1, ""1S"": 1, ""2P"": 1, ""3P"": 1, ""3S"": 4}"	34	0.125	4.25	SF011	0.0
1corintios	"{""same"": 17, ""shift"": 2}"	0.0	0.8947	0.1053	0.0	same	turbulence	candidate	3S	3:16	123	6	SMR0013	"{""stable"": 8, ""structural"": 2, ""turbulence"": 9}"	"{""candidate"": 9, ""none"": 8, ""strong"": 2}"	19	structural=low|turbulence=medium|stable=medium|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0054	0.4211	3:10	105	0.1053	SMR0013	"{""2P"": 2, ""3S"": 17}"	30	0.4737	1.5789	SF012	0.0
1corintios	"{""same"": 3, ""shift"": 2}"	0.0	0.6	0.4	0.0	same	structural	strong	3S	3:17	128	8	SMR0014	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 2}"	5	structural=medium|turbulence=medium|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0056	0.2	3:16	124	0.4	SMR0014	"{""2P"": 1, ""3S"": 4}"	18	0.4	3.6	SF002	0.326639
1corintios	"{""same"": 7, ""shift"": 3}"	0.0	0.7	0.3	0.0	same	turbulence	candidate	3S	3:21	138	6	SMR0015	"{""stable"": 2, ""structural"": 3, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 2, ""strong"": 2}"	10	structural=medium|turbulence=high|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0058	0.2	3:18	129	0.3	SMR0015	"{""3P"": 1, ""3S"": 9}"	26	0.5	2.6	SF013	0.0
1corintios	"{""same"": 4}"	0.0	1.0	0.0	0.0	same	stable	none	3S	4:3	142	2	SMR0016	"{""stable"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2}"	4	structural=none|turbulence=high|stable=high|continuity_same=very_high|continuity_shift=none|continuity_unresolved=none|weight=medium	SR0061	0.5	4:1	139	0.0	SMR0016	"{""3S"": 4}"	4	0.5	1.0	SF014	0.0
1corintios	"{""same"": 3, ""shift"": 3}"	0.0	0.5	0.5	0.0	shift	structural	strong	1S	4:5	148	8	SMR0017	"{""stable"": 2, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2, ""strong"": 2}"	6	structural=high|turbulence=low|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0062	0.3333	4:3	143	0.5	SMR0017	"{""1S"": 4, ""2P"": 1, ""3S"": 1}"	20	0.1667	3.3333	SF002	0.339928
1corintios	"{""same"": 3, ""shift"": 6}"	0.0	0.3333	0.6667	0.0	shift	structural	strong	3S	4:7	157	8	SMR0018	"{""stable"": 3, ""structural"": 6}"	"{""candidate"": 1, ""none"": 3, ""strong"": 5}"	9	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0065	0.3333	4:5	149	0.6667	SMR0018	"{""1S"": 1, ""2P"": 2, ""3S"": 6}"	44	0.0	4.8889	SF015	0.0
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	turbulence	candidate	2S	4:7	161	4	SMR0019	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	4	structural=medium|turbulence=high|stable=medium|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0071	0.25	4:7	158	0.25	SMR0019	"{""2S"": 4}"	8	0.5	2.0	SF016	0.0
1corintios	"{""same"": 3, ""shift"": 4}"	0.0	0.4286	0.5714	0.0	shift	structural	none	2P	4:9	168	6	SMR0020	"{""stable"": 3, ""structural"": 4}"	"{""candidate"": 2, ""none"": 3, ""strong"": 2}"	7	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=high	SR0072	0.4286	4:8	162	0.5714	SMR0020	"{""1P"": 1, ""1S"": 1, ""2P"": 4, ""3S"": 1}"	20	0.0	2.8571	SF017	0.0
1corintios	"{""same"": 13, ""shift"": 21}"	0.0	0.3824	0.6176	0.0	shift	structural	strong	1P	5:6	202	8	SMR0021	"{""stable"": 11, ""structural"": 21, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 11, ""strong"": 19}"	34	structural=high|turbulence=low|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0076	0.3235	4:9	169	0.6176	SMR0021	"{""1P"": 11, ""1S"": 9, ""2P"": 6, ""3P"": 1, ""3S"": 7}"	140	0.0588	4.1176	SF010	0.145034
1corintios	"{""same"": 4, ""shift"": 18}"	0.0	0.1818	0.8182	0.0	shift	structural	strong	2P	6:5	224	8	SMR0022	"{""stable"": 2, ""structural"": 18, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 2, ""strong"": 16}"	22	structural=very_high|turbulence=low|stable=low|continuity_same=low|continuity_shift=very_high|continuity_unresolved=none|weight=very_high	SR0097	0.0909	5:7	203	0.8182	SMR0022	"{""1P"": 2, ""1S"": 3, ""2P"": 11, ""3P"": 1, ""3S"": 5}"	122	0.0909	5.5455	SF001	0.310155
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	stable	none	3S	6:7	228	4	SMR0023	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	4	structural=medium|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0115	0.75	6:5	225	0.25	SMR0023	"{""3S"": 4}"	4	0.0	1.0	SF018	0.0
1corintios	"{""same"": 5, ""shift"": 4}"	0.0	0.5556	0.4444	0.0	same	structural	none	2P	6:10	237	8	SMR0024	"{""stable"": 4, ""structural"": 4, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 4, ""strong"": 3}"	9	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0116	0.4444	6:7	229	0.4444	SMR0024	"{""2P"": 7, ""3P"": 2}"	26	0.1111	2.8889	SF007	0.328865
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	stable	none	2P	6:11	241	4	SMR0025	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	4	structural=medium|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0120	0.75	6:11	238	0.25	SMR0025	"{""2P"": 4}"	4	0.0	1.0	SF018	0.0
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	none	3S	6:12	245	6	SMR0026	"{""stable"": 2, ""structural"": 2}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	4	structural=high|turbulence=none|stable=high|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=high	SR0121	0.5	6:12	242	0.5	SMR0026	"{""1S"": 1, ""3S"": 3}"	10	0.0	2.5	SF019	0.0
1corintios	"{""same"": 3, ""shift"": 10}"	0.0	0.2308	0.7692	0.0	shift	structural	strong	3S	6:18	258	8	SMR0027	"{""stable"": 3, ""structural"": 10}"	"{""candidate"": 3, ""none"": 3, ""strong"": 7}"	13	structural=very_high|turbulence=none|stable=low|continuity_same=low|continuity_shift=very_high|continuity_unresolved=none|weight=very_high	SR0123	0.2308	6:13	246	0.7692	SMR0027	"{""1S"": 1, ""2P"": 3, ""3P"": 1, ""3S"": 8}"	58	0.0	4.4615	SF011	0.269549
1corintios	"{""same"": 2, ""shift"": 3}"	0.0	0.4	0.6	0.0	shift	structural	strong	3S	6:19	263	8	SMR0028	"{""stable"": 1, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 3}"	5	structural=high|turbulence=low|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0133	0.2	6:18	259	0.6	SMR0028	"{""2P"": 1, ""3S"": 4}"	24	0.2	4.8	SF015	0.281103
1corintios	"{""same"": 4, ""shift"": 1}"	0.0	0.8	0.2	0.0	same	stable	none	2P	7:1	268	8	SMR0029	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	5	structural=low|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0136	0.8	6:19	264	0.2	SMR0029	"{""2P"": 5}"	8	0.0	1.6	SF020	0.0
1corintios	"{""same"": 4, ""shift"": 1}"	0.0	0.8	0.2	0.0	same	stable	none	3S	7:4	273	6	SMR0030	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	5	structural=low|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0138	0.8	7:2	269	0.2	SMR0030	"{""3S"": 5}"	6	0.0	1.2	SF008	0.314252
1corintios	"{""same"": 3, ""shift"": 5}"	0.0	0.375	0.625	0.0	shift	structural	strong	2P	7:8	281	8	SMR0031	"{""stable"": 1, ""structural"": 5, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 5}"	8	structural=high|turbulence=medium|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0139	0.125	7:5	274	0.625	SMR0031	"{""1S"": 3, ""2P"": 3, ""3S"": 2}"	36	0.25	4.5	SF004	0.176777
1corintios	"{""same"": 2, ""shift"": 3}"	0.0	0.4	0.6	0.0	shift	structural	candidate	3P	7:10	286	8	SMR0032	"{""stable"": 1, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1, ""strong"": 1}"	5	structural=high|turbulence=low|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0144	0.2	7:8	282	0.6	SMR0032	"{""1S"": 1, ""3P"": 3, ""3S"": 1}"	18	0.2	3.6	SF021	0.0
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	candidate	3S	7:12	290	6	SMR0033	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	4	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0147	0.25	7:11	287	0.5	SMR0033	"{""1S"": 1, ""3S"": 3}"	12	0.25	3.0	SF007	0.234122
1corintios	"{""same"": 13, ""shift"": 1}"	0.0	0.9286	0.0714	0.0	same	turbulence	candidate	3S	7:15	304	6	SMR0034	"{""stable"": 6, ""structural"": 1, ""turbulence"": 7}"	"{""candidate"": 7, ""none"": 6, ""strong"": 1}"	14	structural=low|turbulence=high|stable=medium|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0149	0.4286	7:12	291	0.0714	SMR0034	"{""3S"": 14}"	20	0.5	1.4286	SF012	0.163663
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	turbulence	candidate	2S	7:16	308	4	SMR0035	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	4	structural=medium|turbulence=very_high|stable=none|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0150	0.0	7:16	305	0.25	SMR0035	"{""2S"": 4}"	10	0.75	2.5	SF013	0.34641
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	candidate	3S	7:17	312	4	SMR0036	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1}"	4	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=high	SR0151	0.25	7:17	309	0.5	SMR0036	"{""1S"": 1, ""3S"": 3}"	10	0.25	2.5	SF022	0.0
