book	continuity_counts	continuity_initial_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	dominant_continuity_status	dominant_movement_class	dominant_movement_status	dominant_subject_profile	end_reference	end_stream_index	max_structural_weight	merged_regime_id	movement_class_counts	movement_status_counts	record_count	signature_code	source_regime_id	stable_density	start_reference	start_stream_index	structural_density	structural_signature_id	subject_profile_counts	total_structural_weight	turbulence_density	weight_per_record	structural_family_id	family_distance
1corintios	"{""same"": 4, ""shift"": 4}"	0.0	0.5	0.5	0.0	same	structural	strong	1S	9:3	417	8	SMR0047	"{""stable"": 2, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 4}"	8	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0186	0.25	9:1	410	0.5	SMR0047	"{""1S"": 5, ""2P"": 2, ""3S"": 1}"	30	0.25	3.75	SF002	0.331772
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	1P	9:6	420	6	SMR0048	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0191	0.6667	9:4	418	0.3333	SMR0048	"{""1P"": 3}"	6	0.0	2.0	SF003	0.2441
1corintios	"{""same"": 5, ""shift"": 4}"	0.0	0.5556	0.4444	0.0	same	stable	none	3S	9:9	429	6	SMR0049	"{""stable"": 5, ""structural"": 4}"	"{""candidate"": 3, ""none"": 5, ""strong"": 1}"	9	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0192	0.5556	9:7	421	0.4444	SMR0049	"{""1S"": 1, ""2S"": 1, ""3S"": 7}"	18	0.0	2.0	SF003	0.255977
1corintios	"{""same"": 4, ""shift"": 3}"	0.0	0.5714	0.4286	0.0	same	structural	candidate	3S	9:12	436	6	SMR0050	"{""stable"": 3, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 3, ""strong"": 1}"	7	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0196	0.4286	9:9	430	0.4286	SMR0050	"{""1P"": 2, ""3P"": 1, ""3S"": 4}"	16	0.1429	2.2857	SF019	0.175119
1corintios	"{""same"": 5, ""shift"": 7}"	0.0	0.4167	0.5833	0.0	shift	structural	strong	1P	9:16	448	6	SMR0051	"{""stable"": 2, ""structural"": 7, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 2, ""strong"": 5}"	12	structural=high|turbulence=medium|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0199	0.1667	9:12	437	0.5833	SMR0051	"{""1P"": 3, ""1S"": 3, ""2P"": 1, ""3P"": 2, ""3S"": 3}"	44	0.25	3.6667	SF002	0.317919
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	3S	9:16	451	6	SMR0052	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0206	0.6667	9:16	449	0.3333	SMR0052	"{""3S"": 3}"	6	0.0	2.0	SF003	0.161876
1corintios	"{""same"": 3, ""shift"": 2}"	0.0	0.6	0.4	0.0	same	structural	strong	1S	9:18	456	6	SMR0053	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 2}"	5	structural=medium|turbulence=medium|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0207	0.2	9:16	452	0.4	SMR0053	"{""1S"": 4, ""3S"": 1}"	16	0.4	3.2	SF024	0.0
1corintios	"{""same"": 13, ""shift"": 7}"	0.0	0.65	0.35	0.0	same	turbulence	candidate	1S	9:25	476	8	SMR0054	"{""stable"": 2, ""structural"": 7, ""turbulence"": 11}"	"{""candidate"": 11, ""none"": 2, ""strong"": 7}"	20	structural=medium|turbulence=high|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0209	0.1	9:18	457	0.35	SMR0054	"{""1S"": 13, ""2P"": 3, ""3P"": 2, ""3S"": 2}"	68	0.55	3.4	SF006	0.149067
1corintios	"{""same"": 5, ""shift"": 1}"	0.0	0.8333	0.1667	0.0	same	stable	none	1S	10:1	482	8	SMR0055	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 3, ""strong"": 1}"	6	structural=low|turbulence=medium|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=high	SR0216	0.5	9:26	477	0.1667	SMR0055	"{""1S"": 6}"	12	0.3333	2.0	SF016	0.333325
1corintios	"{""same"": 6, ""shift"": 2}"	0.0	0.75	0.25	0.0	same	stable	none	3P	10:5	490	8	SMR0056	"{""stable"": 5, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 5, ""strong"": 1}"	8	structural=medium|turbulence=low|stable=high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0218	0.625	10:1	483	0.25	SMR0056	"{""3P"": 6, ""3S"": 2}"	14	0.125	1.75	SF003	0.280574
1corintios	"{""same"": 6, ""shift"": 10}"	0.0	0.375	0.625	0.0	shift	structural	candidate	3P	10:10	506	8	SMR0057	"{""stable"": 2, ""structural"": 10, ""turbulence"": 4}"	"{""candidate"": 10, ""none"": 2, ""strong"": 4}"	16	structural=high|turbulence=medium|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0220	0.125	10:5	491	0.625	SMR0057	"{""1P"": 2, ""2P"": 2, ""3P"": 10, ""3S"": 2}"	58	0.25	3.625	SF002	0.325781
1corintios	"{""same"": 11, ""shift"": 20}"	0.0	0.3548	0.6452	0.0	shift	structural	strong	3S	10:22	537	8	SMR0058	"{""stable"": 6, ""structural"": 20, ""turbulence"": 5}"	"{""candidate"": 11, ""none"": 6, ""strong"": 14}"	31	structural=high|turbulence=low|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0230	0.1935	10:11	507	0.6452	SMR0058	"{""1P"": 6, ""1S"": 4, ""2P"": 6, ""3P"": 3, ""3S"": 12}"	126	0.1613	4.0645	SF010	0.213723
1corintios	"{""same"": 6, ""shift"": 8}"	0.0	0.4286	0.5714	0.0	shift	structural	strong	3S	10:29	551	8	SMR0059	"{""stable"": 5, ""structural"": 8, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 5, ""strong"": 7}"	14	structural=high|turbulence=low|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0250	0.3571	10:23	538	0.5714	SMR0059	"{""1S"": 1, ""2P"": 4, ""3S"": 9}"	54	0.0714	3.8571	SF010	0.231564
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	structural	strong	1S	10:30	554	6	SMR0060	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0258	0.3333	10:30	552	0.3333	SMR0060	"{""1S"": 3}"	8	0.3333	2.6667	SF025	0.0
1corintios	"{""same"": 4, ""shift"": 9}"	0.0	0.3077	0.6923	0.0	shift	structural	strong	2P	11:3	567	8	SMR0061	"{""stable"": 4, ""structural"": 9}"	"{""none"": 4, ""strong"": 9}"	13	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0259	0.3077	10:31	555	0.6923	SMR0061	"{""1S"": 4, ""2P"": 8, ""3P"": 1}"	60	0.0	4.6154	SF011	0.318999
1corintios	"{""same"": 11, ""shift"": 2}"	0.0	0.8462	0.1538	0.0	same	stable	none	3S	11:13	580	6	SMR0062	"{""stable"": 6, ""structural"": 2, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 6, ""strong"": 2}"	13	structural=low|turbulence=medium|stable=medium|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0268	0.4615	11:3	568	0.1538	SMR0062	"{""2P"": 1, ""3S"": 12}"	22	0.3846	1.6923	SF012	0.174257
1corintios	"{""same"": 8, ""shift"": 7}"	0.0	0.5333	0.4667	0.0	same	structural	candidate	3S	11:19	595	8	SMR0063	"{""stable"": 3, ""structural"": 7, ""turbulence"": 5}"	"{""candidate"": 7, ""none"": 3, ""strong"": 5}"	15	structural=medium|turbulence=medium|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0270	0.2	11:13	581	0.4667	SMR0063	"{""1P"": 1, ""1S"": 3, ""2P"": 1, ""3P"": 1, ""3S"": 9}"	54	0.3333	3.6	SF002	0.08219
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	stable	none	3S	11:21	599	6	SMR0064	"{""stable"": 3, ""structural"": 1}"	"{""none"": 3, ""strong"": 1}"	4	structural=medium|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0277	0.75	11:20	596	0.25	SMR0064	"{""3S"": 4}"	6	0.0	1.5	SF008	0.326208
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	2P	11:22	602	6	SMR0065	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0278	0.6667	11:22	600	0.3333	SMR0065	"{""2P"": 3}"	6	0.0	2.0	SF003	0.142622
1corintios	"{""same"": 4, ""shift"": 1}"	0.0	0.8	0.2	0.0	same	stable	none	1S	11:23	607	6	SMR0066	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	5	structural=low|turbulence=none|stable=very_high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0279	0.8	11:22	603	0.2	SMR0066	"{""1S"": 5}"	6	0.0	1.2	SF008	0.211271
1corintios	"{""same"": 4, ""shift"": 3}"	0.0	0.5714	0.4286	0.0	same	structural	strong	3S	11:25	614	6	SMR0067	"{""stable"": 3, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 3, ""strong"": 3}"	7	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0280	0.4286	11:23	608	0.4286	SMR0067	"{""2P"": 1, ""3S"": 6}"	20	0.1429	2.8571	SF007	0.233135
1corintios	"{""same"": 4, ""shift"": 1}"	0.0	0.8	0.2	0.0	same	turbulence	candidate	2P	11:26	619	6	SMR0068	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	structural=low|turbulence=medium|stable=medium|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=high	SR0283	0.4	11:25	615	0.2	SMR0068	"{""2P"": 5}"	10	0.4	2.0	SF016	0.033338
1corintios	"{""same"": 8, ""shift"": 2}"	0.0	0.8	0.2	0.0	same	stable	none	3S	11:30	629	6	SMR0069	"{""stable"": 6, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 6, ""strong"": 1}"	10	structural=low|turbulence=low|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0284	0.6	11:26	620	0.2	SMR0069	"{""3P"": 1, ""3S"": 9}"	14	0.2	1.4	SF008	0.172888
1corintios	"{""same"": 6, ""shift"": 5}"	0.0	0.5455	0.4545	0.0	same	structural	candidate	1P	12:1	640	8	SMR0070	"{""stable"": 2, ""structural"": 5, ""turbulence"": 4}"	"{""candidate"": 5, ""none"": 2, ""strong"": 4}"	11	structural=medium|turbulence=medium|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0286	0.1818	11:31	630	0.4545	SMR0070	"{""1P"": 4, ""1S"": 3, ""2P"": 2, ""3S"": 2}"	38	0.3636	3.4545	SF002	0.14353
1corintios	"{""same"": 3, ""shift"": 3}"	0.0	0.5	0.5	0.0	shift	structural	strong	2P	12:3	646	8	SMR0071	"{""stable"": 1, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 3}"	6	structural=high|turbulence=medium|stable=low|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0292	0.1667	12:2	641	0.5	SMR0071	"{""1S"": 1, ""2P"": 3, ""3S"": 2}"	24	0.3333	4.0	SF026	0.0
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	3P	12:6	649	4	SMR0072	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0295	0.6667	12:4	647	0.3333	SMR0072	"{""3P"": 3}"	4	0.0	1.3333	SF008	0.255927
1corintios	"{""same"": 11, ""shift"": 6}"	0.0	0.6471	0.3529	0.0	same	structural	candidate	3S	12:16	666	6	SMR0073	"{""stable"": 5, ""structural"": 6, ""turbulence"": 6}"	"{""candidate"": 10, ""none"": 5, ""strong"": 2}"	17	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0296	0.2941	12:7	650	0.3529	SMR0073	"{""1P"": 2, ""1S"": 4, ""3S"": 11}"	40	0.3529	2.3529	SF019	0.324246
1corintios	"{""same"": 6, ""shift"": 4}"	0.0	0.6	0.4	0.0	same	structural	candidate	3S	12:23	676	6	SMR0074	"{""stable"": 4, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 4, ""strong"": 1}"	10	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0302	0.4	12:16	667	0.4	SMR0074	"{""1P"": 2, ""1S"": 2, ""3S"": 6}"	22	0.2	2.2	SF019	0.189873
1corintios	"{""same"": 3, ""shift"": 2}"	0.0	0.6	0.4	0.0	same	structural	strong	3S	12:25	681	6	SMR0075	"{""stable"": 2, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 2}"	5	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0306	0.4	12:23	677	0.4	SMR0075	"{""3P"": 1, ""3S"": 4}"	14	0.2	2.8	SF007	0.253254
1corintios	"{""same"": 3, ""shift"": 3}"	0.0	0.5	0.5	0.0	shift	structural	none	3S	12:28	687	6	SMR0076	"{""stable"": 3, ""structural"": 3}"	"{""candidate"": 1, ""none"": 3, ""strong"": 2}"	6	structural=high|turbulence=none|stable=high|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=high	SR0308	0.5	12:26	682	0.5	SMR0076	"{""2P"": 1, ""3S"": 5}"	16	0.0	2.6667	SF017	0.238
1corintios	"{""same"": 2, ""shift"": 3}"	0.0	0.4	0.6	0.0	shift	structural	candidate	3P	12:31	692	6	SMR0077	"{""stable"": 2, ""structural"": 3}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=high	SR0311	0.4	12:30	688	0.6	SMR0077	"{""1S"": 1, ""2P"": 1, ""3P"": 3}"	14	0.0	2.8	SF007	0.331984
1corintios	"{""same"": 26, ""shift"": 5}"	0.0	0.8387	0.1613	0.0	same	stable	none	3S	13:10	723	8	SMR0078	"{""stable"": 19, ""structural"": 5, ""turbulence"": 7}"	"{""candidate"": 10, ""none"": 19, ""strong"": 2}"	31	structural=low|turbulence=low|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0314	0.6129	13:1	693	0.1613	SMR0078	"{""1P"": 2, ""1S"": 8, ""3P"": 2, ""3S"": 19}"	40	0.2258	1.2903	SF008	0.170818
1corintios	"{""same"": 5, ""shift"": 2}"	0.0	0.7143	0.2857	0.0	same	turbulence	candidate	1S	13:12	730	6	SMR0079	"{""stable"": 2, ""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 2, ""strong"": 1}"	7	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0319	0.2857	13:11	724	0.2857	SMR0079	"{""1P"": 1, ""1S"": 6}"	16	0.4286	2.2857	SF016	0.332757
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	candidate	1S	13:13	734	6	SMR0080	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	4	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0321	0.25	13:12	731	0.5	SMR0080	"{""1S"": 3, ""3S"": 1}"	12	0.25	3.0	SF007	0.171307
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	structural	strong	2P	14:1	737	6	SMR0081	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0323	0.3333	14:1	735	0.3333	SMR0081	"{""2P"": 3}"	8	0.3333	2.6667	SF025	0.0
1corintios	"{""same"": 6, ""shift"": 4}"	0.0	0.6	0.4	0.0	same	stable	none	3S	14:5	747	8	SMR0082	"{""stable"": 6, ""structural"": 4}"	"{""candidate"": 1, ""none"": 6, ""strong"": 3}"	10	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0324	0.6	14:2	738	0.4	SMR0082	"{""1S"": 1, ""2P"": 1, ""3S"": 8}"	26	0.0	2.6	SF017	0.316021
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	turbulence	candidate	1S	14:6	750	4	SMR0083	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	3	structural=medium|turbulence=high|stable=none|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0328	0.0	14:6	748	0.3333	SMR0083	"{""1S"": 3}"	8	0.6667	2.6667	SF005	0.331993
1corintios	"{""same"": 4, ""shift"": 7}"	0.0	0.3636	0.6364	0.0	shift	structural	strong	3S	14:11	761	8	SMR0084	"{""structural"": 7, ""turbulence"": 4}"	"{""candidate"": 5, ""strong"": 6}"	11	structural=high|turbulence=medium|stable=none|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0329	0.0	14:7	751	0.6364	SMR0084	"{""1S"": 2, ""2P"": 2, ""3P"": 1, ""3S"": 6}"	56	0.3636	5.0909	SF027	0.0
1corintios	"{""same"": 3, ""shift"": 3}"	0.0	0.5	0.5	0.0	shift	structural	candidate	2P	14:14	767	8	SMR0085	"{""structural"": 3, ""turbulence"": 3}"	"{""candidate"": 4, ""strong"": 2}"	6	structural=high|turbulence=high|stable=none|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0336	0.0	14:12	762	0.5	SMR0085	"{""1S"": 1, ""2P"": 3, ""3S"": 2}"	26	0.5	4.3333	SF004	0.337233
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	3S	14:15	770	6	SMR0086	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0339	0.6667	14:14	768	0.3333	SMR0086	"{""3S"": 3}"	6	0.0	2.0	SF003	0.124794
1corintios	"{""same"": 3, ""shift"": 7}"	0.0	0.3	0.7	0.0	shift	structural	strong	1S	14:17	780	6	SMR0087	"{""stable"": 3, ""structural"": 7}"	"{""candidate"": 3, ""none"": 3, ""strong"": 4}"	10	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0340	0.3	14:15	771	0.7	SMR0087	"{""1S"": 4, ""2S"": 3, ""3S"": 3}"	36	0.0	3.6	SF021	0.282843
1corintios	"{""same"": 3, ""shift"": 1}"	0.0	0.75	0.25	0.0	same	stable	candidate	1S	14:19	784	4	SMR0088	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	4	structural=medium|turbulence=medium|stable=high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0347	0.5	14:18	781	0.25	SMR0088	"{""1S"": 4}"	6	0.25	1.5	SF008	0.296677
1corintios	"{""same"": 2, ""shift"": 7}"	0.0	0.2222	0.7778	0.0	shift	structural	strong	2P	14:23	793	8	SMR0089	"{""stable"": 2, ""structural"": 7}"	"{""candidate"": 2, ""none"": 2, ""strong"": 5}"	9	structural=very_high|turbulence=none|stable=low|continuity_same=low|continuity_shift=very_high|continuity_unresolved=none|weight=very_high	SR0348	0.2222	14:20	785	0.7778	SMR0089	"{""1S"": 1, ""2P"": 3, ""3P"": 2, ""3S"": 3}"	42	0.0	4.6667	SF011	0.238843
1corintios	"{""same"": 2, ""shift"": 3}"	0.0	0.4	0.6	0.0	shift	structural	strong	3P	14:24	798	6	SMR0090	"{""stable"": 2, ""structural"": 3}"	"{""candidate"": 1, ""none"": 2, ""strong"": 2}"	5	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0355	0.4	14:23	794	0.6	SMR0090	"{""2P"": 1, ""3P"": 4}"	16	0.0	3.2	SF028	0.0
1corintios	"{""same"": 6, ""shift"": 2}"	0.0	0.75	0.25	0.0	same	stable	none	3S	14:26	806	8	SMR0091	"{""stable"": 4, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4, ""strong"": 2}"	8	structural=medium|turbulence=medium|stable=high|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0358	0.5	14:24	799	0.25	SMR0091	"{""2P"": 1, ""3S"": 7}"	18	0.25	2.25	SF016	0.284533
1corintios	"{""same"": 15, ""shift"": 11}"	0.0	0.5769	0.4231	0.0	same	structural	candidate	3S	14:35	832	8	SMR0092	"{""stable"": 10, ""structural"": 11, ""turbulence"": 5}"	"{""candidate"": 11, ""none"": 10, ""strong"": 5}"	26	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0360	0.3846	14:26	807	0.4231	SMR0092	"{""2P"": 1, ""3P"": 8, ""3S"": 17}"	66	0.1923	2.5385	SF017	0.308075
1corintios	"{""same"": 4, ""shift"": 2}"	0.0	0.6667	0.3333	0.0	same	structural	candidate	3S	14:37	838	4	SMR0093	"{""stable"": 2, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 2}"	6	structural=medium|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0371	0.3333	14:35	833	0.3333	SMR0093	"{""1S"": 1, ""3S"": 5}"	12	0.3333	2.0	SF016	0.220233
1corintios	"{""same"": 4, ""shift"": 4}"	0.0	0.5	0.5	0.0	shift	structural	strong	3S	15:1	846	8	SMR0094	"{""stable"": 2, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2, ""strong"": 3}"	8	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0373	0.25	14:37	839	0.5	SMR0094	"{""1S"": 2, ""2P"": 2, ""3S"": 4}"	28	0.25	3.5	SF002	0.080749
1corintios	"{""same"": 4, ""shift"": 4}"	0.0	0.5	0.5	0.0	shift	structural	strong	2P	15:3	854	8	SMR0095	"{""stable"": 4, ""structural"": 4}"	"{""none"": 4, ""strong"": 4}"	8	structural=high|turbulence=none|stable=high|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0377	0.5	15:1	847	0.5	SMR0095	"{""1S"": 3, ""2P"": 5}"	28	0.0	3.5	SF029	0.0
1corintios	"{""same"": 6, ""shift"": 3}"	0.0	0.6667	0.3333	0.0	same	stable	none	3S	15:8	863	6	SMR0096	"{""stable"": 5, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 5, ""strong"": 1}"	9	structural=medium|turbulence=low|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0381	0.5556	15:3	855	0.3333	SMR0096	"{""3P"": 2, ""3S"": 7}"	16	0.1111	1.7778	SF003	0.183456
1corintios	"{""same"": 5, ""shift"": 7}"	0.0	0.4167	0.5833	0.0	shift	structural	candidate	1S	15:12	875	8	SMR0097	"{""stable"": 5, ""structural"": 7}"	"{""candidate"": 5, ""none"": 5, ""strong"": 2}"	12	structural=high|turbulence=none|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=high	SR0384	0.4167	15:9	864	0.5833	SMR0097	"{""1P"": 1, ""1S"": 6, ""2P"": 1, ""3P"": 1, ""3S"": 3}"	34	0.0	2.8333	SF007	0.263545
1corintios	"{""same"": 9, ""shift"": 10}"	0.0	0.4737	0.5263	0.0	shift	structural	candidate	3S	15:22	894	8	SMR0098	"{""stable"": 2, ""structural"": 10, ""turbulence"": 7}"	"{""candidate"": 10, ""none"": 2, ""strong"": 7}"	19	structural=high|turbulence=medium|stable=low|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0391	0.1053	15:12	876	0.5263	SMR0098	"{""1P"": 4, ""2P"": 1, ""3P"": 5, ""3S"": 9}"	72	0.3684	3.7895	SF002	0.296436
1corintios	"{""same"": 10, ""shift"": 1}"	0.0	0.9091	0.0909	0.0	same	stable	none	3S	15:28	905	6	SMR0099	"{""stable"": 6, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 6, ""strong"": 1}"	11	structural=low|turbulence=medium|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0401	0.5455	15:24	895	0.0909	SMR0099	"{""3S"": 11}"	14	0.3636	1.2727	SF008	0.340103
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	candidate	3P	15:30	909	4	SMR0100	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1}"	4	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=high	SR0402	0.25	15:29	906	0.5	SMR0100	"{""1P"": 1, ""3P"": 3}"	10	0.25	2.5	SF017	0.349852
1corintios	"{""same"": 2, ""shift"": 2}"	0.0	0.5	0.5	0.0	shift	structural	candidate	1S	15:32	913	6	SMR0101	"{""stable"": 1, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	4	structural=high|turbulence=medium|stable=medium|continuity_same=high|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0404	0.25	15:31	910	0.5	SMR0101	"{""1S"": 3, ""3P"": 1}"	12	0.25	3.0	SF007	0.168951
